date,cases
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,3
2020-03-17,6
2020-03-18,9
2020-03-19,12
2020-03-20,14
2020-03-21,21
2020-03-22,22
2020-03-23,36
2020-03-24,42
2020-03-25,59
2020-03-26,69
2020-03-27,85
2020-03-28,102
2020-03-29,114
2020-03-30,120
2020-03-31,133
2020-04-01,143
2020-04-02,146
2020-04-03,156
2020-04-04,169
2020-04-05,183
2020-04-06,189
2020-04-07,211
2020-04-08,224
2020-04-09,233
2020-04-10,244
2020-04-11,255
2020-04-12,270
2020-04-13,275
2020-04-14,283
2020-04-15,291
2020-04-16,298
2020-04-17,307
2020-04-18,312
2020-04-19,317
2020-04-20,319
2020-04-21,327
2020-04-22,333
2020-04-23,335
2020-04-24,337
2020-04-25,337
2020-04-26,339
2020-04-27,343
2020-04-28,349
2020-04-29,353
2020-04-30,353
2020-05-01,362
2020-05-02,363
2020-05-03,366
2020-05-04,368
2020-05-05,369
2020-05-06,370
2020-05-07,373
2020-05-08,376
2020-05-09,377
2020-05-10,378
2020-05-11,380
2020-05-12,383
2020-05-13,383
2020-05-14,387
2020-05-15,388
2020-05-16,392
2020-05-17,396
2020-05-18,399
2020-05-19,399
2020-05-20,402
2020-05-21,402
2020-05-22,404
2020-05-23,409
2020-05-24,409
2020-05-25,412
2020-05-26,416
2020-05-27,417
2020-05-28,430
2020-05-29,436
2020-05-30,441
2020-05-31,469
2020-06-01,476
2020-06-02,497
2020-06-03,516
2020-06-04,542
2020-06-05,565
2020-06-06,579
2020-06-07,588
2020-06-08,607
2020-06-09,620
2020-06-10,642
2020-06-11,666
2020-06-12,688
2020-06-13,722
2020-06-14,734
2020-06-15,738
2020-06-16,751
2020-06-17,776
2020-06-18,795
2020-06-19,821
2020-06-20,845
2020-06-21,859
2020-06-22,869
2020-06-23,905
2020-06-24,926
2020-06-25,971
2020-06-26,1001
2020-06-27,1027
2020-06-28,1060
2020-06-29,1085
2020-06-30,1132
2020-07-01,1174
2020-07-02,1224
2020-07-03,1284
2020-07-04,1339
2020-07-05,1371
2020-07-06,1401
2020-07-07,1423
2020-07-08,1472
2020-07-09,1521
2020-07-10,1579
2020-07-11,1656
2020-07-12,1772
2020-07-13,1843
2020-07-14,1897
2020-07-15,1958
2020-07-16,2034
2020-07-17,2083
