date,cases
2020-03-13,6
2020-03-14,12
2020-03-15,23
2020-03-16,29
2020-03-17,39
2020-03-18,51
2020-03-19,78
2020-03-20,106
2020-03-21,131
2020-03-22,157
2020-03-23,196
2020-03-24,242
2020-03-25,386
2020-03-26,538
2020-03-27,639
2020-03-28,720
2020-03-29,830
2020-03-30,947
2020-03-31,999
2020-04-01,1108
2020-04-02,1270
2020-04-03,1535
2020-04-04,1632
2020-04-05,1840
2020-04-06,2005
2020-04-07,2197
2020-04-08,2498
2020-04-09,2838
2020-04-10,3008
2020-04-11,3262
2020-04-12,3583
2020-04-13,3805
2020-04-14,3953
2020-04-15,4241
2020-04-16,4404
2020-04-17,4572
2020-04-18,4723
2020-04-19,4903
2020-04-20,5078
2020-04-21,5327
2020-04-22,5610
2020-04-23,5832
2020-04-24,6026
2020-04-25,6213
2020-04-26,6421
2020-04-27,6539
2020-04-28,6750
2020-04-29,6925
2020-04-30,7068
2020-05-01,7294
2020-05-02,7611
2020-05-03,7888
2020-05-04,8112
2020-05-05,8437
2020-05-06,8691
2020-05-07,9046
2020-05-08,9385
2020-05-09,9668
2020-05-10,9889
2020-05-11,10164
2020-05-12,10464
2020-05-13,10700
2020-05-14,11101
2020-05-15,11373
2020-05-16,11674
2020-05-17,11771
2020-05-18,12086
2020-05-19,12376
2020-05-20,13052
2020-05-21,13414
2020-05-22,13670
2020-05-23,14149
2020-05-24,14478
2020-05-25,14986
2020-05-26,15650
2020-05-27,16032
2020-05-28,16530
2020-05-29,17031
2020-05-30,17359
2020-05-31,17952
2020-06-01,18534
2020-06-02,18771
2020-06-03,18851
2020-06-04,19072
2020-06-05,19387
2020-06-06,20043
2020-06-07,20500
2020-06-08,20925
2020-06-09,21422
2020-06-10,21989
2020-06-11,22845
2020-06-12,23710
2020-06-13,24601
2020-06-14,25615
2020-06-15,26272
2020-06-16,26912
2020-06-17,27312
2020-06-18,28206
2020-06-19,29002
2020-06-20,29549
2020-06-21,30021
2020-06-22,30454
2020-06-23,31097
2020-06-24,32064
2020-06-25,33206
2020-06-26,34183
2020-06-27,35083
2020-06-28,35441
2020-06-29,37175
2020-06-30,38045
2020-07-01,38962
2020-07-02,40111
2020-07-03,41865
2020-07-04,42862
2020-07-05,43953
2020-07-06,44878
2020-07-07,45785
2020-07-08,46962
2020-07-09,49174
2020-07-10,50508
2020-07-11,51947
2020-07-12,53587
2020-07-13,55545
2020-07-14,57255
2020-07-15,59067
2020-07-16,61088
2020-07-17,63091
2020-07-18,65234
2020-07-19,67011
2020-07-20,68891
2020-07-21,70358
2020-07-22,71813
2020-07-23,74212
2020-07-24,76005
2020-07-25,78130
2020-07-26,79294
2020-07-27,81115
2020-07-28,82366
2020-07-29,83782
2020-07-30,85762
2020-07-31,87723
2020-08-01,89349
2020-08-02,91444
2020-08-03,92661
2020-08-04,93702
2020-08-05,94654
2020-08-06,96592
2020-08-07,98301
2020-08-08,100173
2020-08-09,101334
2020-08-10,103020
2020-08-11,103851
2020-08-12,104786
2020-08-13,105557
2020-08-14,106309
2020-08-15,107580
2020-08-16,108433
2020-08-17,109004
2020-08-18,110361
2020-08-19,111478
2020-08-20,112449
2020-08-21,113632
2020-08-22,114532
2020-08-23,115060
2020-08-24,116710
2020-08-25,117242
2020-08-26,119254
2020-08-27,121023
2020-08-28,122185
2020-08-29,123889
2020-08-30,125235
2020-08-31,126058
2020-09-01,127616
2020-09-02,128239
2020-09-03,129285
2020-09-04,130393
2020-09-05,131803
2020-09-06,132314
2020-09-07,132973
2020-09-08,133606
2020-09-09,134417
2020-09-10,135565
2020-09-11,136703
2020-09-12,137646
2020-09-13,138755
2020-09-14,139459
2020-09-15,140160
2020-09-16,141087
2020-09-17,141757
2020-09-18,142863
2020-09-19,144164
2020-09-20,144962
2020-09-21,145780
2020-09-22,146584
2020-09-23,147153
2020-09-24,148206
2020-09-25,150658
2020-09-26,151591
2020-09-27,152321
2020-09-28,152983
2020-09-29,153554
2020-09-30,154701
2020-10-01,155744
2020-10-02,156698
2020-10-03,158380
2020-10-04,159169
2020-10-05,159713
2020-10-06,160477
2020-10-07,161418
2020-10-08,161975
2020-10-09,163465
2020-10-10,164526
2020-10-11,165342
2020-10-12,166076
2020-10-13,167193
2020-10-14,167977
2020-10-15,169162
2020-10-16,170374
2020-10-17,171662
2020-10-18,172626
2020-10-19,173485
2020-10-20,174528
2020-10-21,175674
2020-10-22,177064
2020-10-23,180916
2020-10-24,183276
2020-10-25,184355
2020-10-26,185322
2020-10-27,186437
2020-10-28,187706
2020-10-29,189149
2020-10-30,190496
2020-10-31,192285
2020-11-01,193985
2020-11-02,194892
2020-11-03,195929
2020-11-04,197777
2020-11-05,199158
2020-11-06,200714
2020-11-07,202482
2020-11-08,203687
2020-11-09,204857
2020-11-10,206567
2020-11-11,208637
2020-11-12,210637
2020-11-13,213617
2020-11-14,215843
2020-11-15,217822
2020-11-16,219232
2020-11-17,220848
2020-11-18,223486
2020-11-19,225910
2020-11-20,228373
2020-11-21,230708
2020-11-22,232506
2020-11-23,234080
2020-11-24,236865
2020-11-25,239318
2020-11-26,241957
2020-11-27,242874
2020-11-28,244993
2020-11-29,247229
2020-11-30,249524
2020-12-01,252900
2020-12-02,256828
2020-12-03,260359
2020-12-04,264199
2020-12-05,267589
2020-12-06,269877
2020-12-07,272229
2020-12-08,276665
2020-12-09,280187
2020-12-10,284922
2020-12-11,288775
2020-12-12,292841
2020-12-13,295631
2020-12-14,297895
2020-12-15,301533
2020-12-16,305640
2020-12-17,310335
2020-12-18,315683
2020-12-19,319904
2020-12-20,322452
2020-12-21,324832
2020-12-22,329811
2020-12-23,334569
2020-12-24,338801
2020-12-25,342426
2020-12-26,343458
2020-12-27,345628
2020-12-28,347897
2020-12-29,351804
2020-12-30,356820
2020-12-31,361226
2021-01-01,365747
2021-01-02,369458
2021-01-03,371934
2021-01-04,374095
2021-01-05,379593
2021-01-06,384184
2021-01-07,389230
2021-01-08,394287
2021-01-09,399150
2021-01-10,401900
2021-01-11,404000
2021-01-12,407848
2021-01-13,410995
