date,cases
2020-03-11,1
2020-03-12,4
2020-03-13,4
2020-03-14,4
2020-03-15,7
2020-03-16,8
2020-03-17,16
2020-03-18,26
2020-03-19,30
2020-03-20,39
2020-03-21,45
2020-03-22,56
2020-03-23,87
2020-03-24,104
2020-03-25,119
2020-03-26,143
2020-03-27,165
2020-03-28,214
2020-03-29,232
2020-03-30,264
2020-03-31,319
2020-04-01,368
2020-04-02,393
2020-04-03,450
2020-04-04,593
2020-04-05,673
2020-04-06,783
2020-04-07,928
2020-04-08,1116
2020-04-09,1209
2020-04-10,1326
2020-04-11,1479
2020-04-12,1625
2020-04-13,1761
2020-04-14,1926
2020-04-15,2014
2020-04-16,2075
2020-04-17,2323
2020-04-18,2538
2020-04-19,2538
2020-04-20,2745
2020-04-21,2931
2020-04-22,3200
2020-04-23,3308
2020-04-24,3442
2020-04-25,3576
2020-04-26,4034
2020-04-27,4162
2020-04-28,4575
2020-04-29,4655
2020-04-30,4734
2020-05-01,4918
2020-05-02,5038
2020-05-03,5208
2020-05-04,5288
2020-05-05,5371
2020-05-06,5778
2020-05-07,5939
2020-05-08,6083
2020-05-09,6277
2020-05-10,6447
2020-05-11,6565
2020-05-12,6741
2020-05-13,6952
2020-05-14,7223
2020-05-15,7373
2020-05-16,7547
2020-05-17,7670
2020-05-18,7869
2020-05-19,8037
2020-05-20,8194
2020-05-21,8386
2020-05-22,8529
2020-05-23,8690
2020-05-24,8809
2020-05-25,8965
2020-05-26,9066
2020-05-27,9096
2020-05-28,9171
2020-05-29,9236
2020-05-30,9422
2020-05-31,9498
2020-06-01,9605
2020-06-02,9685
2020-06-03,9712
2020-06-04,9746
2020-06-05,9773
2020-06-06,9845
2020-06-07,9942
2020-06-08,9972
2020-06-09,10020
2020-06-10,10056
2020-06-11,10106
2020-06-12,10173
2020-06-13,10229
2020-06-14,10264
2020-06-15,10340
2020-06-16,10403
2020-06-17,10444
2020-06-18,10499
2020-06-19,10611
2020-06-20,10681
2020-06-21,10775
2020-06-22,10820
2020-06-23,10847
2020-06-24,10889
2020-06-25,10980
2020-06-26,11017
2020-06-27,11091
2020-06-28,11226
2020-06-29,11376
2020-06-30,11474
2020-07-01,11510
2020-07-02,11731
2020-07-03,11923
2020-07-04,11996
2020-07-05,12128
2020-07-06,12293
2020-07-07,12414
