date,cases
2020-03-01,2
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,4
2020-03-06,7
2020-03-07,12
2020-03-08,13
2020-03-09,14
2020-03-10,23
2020-03-11,26
2020-03-12,46
2020-03-13,70
2020-03-14,70
2020-03-15,109
2020-03-16,141
2020-03-17,210
2020-03-18,326
2020-03-19,434
2020-03-20,564
2020-03-21,764
2020-03-22,1000
2020-03-23,1222
2020-03-24,1467
2020-03-25,1971
2020-03-26,2478
2020-03-27,3198
2020-03-28,4038
2020-03-29,4943
2020-03-30,5695
2020-03-31,6742
2020-04-01,7769
2020-04-02,9000
2020-04-03,10260
2020-04-04,11537
2020-04-05,12342
2020-04-06,13621
2020-04-07,14739
2020-04-08,15690
2020-04-09,16819
2020-04-10,17960
2020-04-11,18978
2020-04-12,19855
2020-04-13,21011
2020-04-14,21620
2020-04-15,22526
2020-04-16,23332
2020-04-17,24745
2020-04-18,25484
2020-04-19,26306
2020-04-20,27050
2020-04-21,27861
2020-04-22,28301
2020-04-23,29640
2020-04-24,30525
2020-04-25,30831
2020-04-26,31520
2020-04-27,32130
2020-04-28,32838
2020-04-29,33185
2020-04-30,33683
2020-05-01,34720
2020-05-02,35455
2020-05-03,36070
2020-05-04,36889
2020-05-05,37431
2020-05-06,37994
2020-05-07,38820
2020-05-08,39191
2020-05-09,39993
2020-05-10,40588
2020-05-11,40974
2020-05-12,41915
2020-05-13,42394
2020-05-14,43202
2020-05-15,44130
2020-05-16,44803
2020-05-17,45580
2020-05-18,46434
2020-05-19,46936
2020-05-20,47463
2020-05-21,48667
2020-05-22,49443
2020-05-23,50119
2020-05-24,50859
2020-05-25,51738
2020-05-26,52247
2020-05-27,52626
2020-05-28,53277
2020-05-29,54489
2020-05-30,55416
2020-05-31,56155
2020-06-01,56822
2020-06-02,57439
2020-06-03,58756
2020-06-04,60175
2020-06-05,61480
2020-06-06,62750
2020-06-07,63930
2020-06-08,64896
2020-06-09,65992
2020-06-10,67363
2020-06-11,69061
2020-06-12,70963
2020-06-13,73544
2020-06-14,75560
2020-06-15,77318
2020-06-16,80101
2020-06-17,82711
2020-06-18,85918
2020-06-19,89740
2020-06-20,93789
2020-06-21,97283
2020-06-22,100209
2020-06-23,103495
2020-06-24,109006
2020-06-25,114010
2020-06-26,122952
2020-06-27,132537
2020-06-28,141067
2020-06-29,146333
2020-06-30,152426
2020-07-01,158989
2020-07-02,169098
2020-07-03,178586
2020-07-04,190044
2020-07-05,200103
2020-07-06,206439
2020-07-07,213786
2020-07-08,223775
2020-07-09,232710
2020-07-10,244143
2020-07-11,254503
2020-07-12,269803
2020-07-13,282427
2020-07-14,291621
2020-07-15,301802
2020-07-16,315767
2020-07-17,327233
2020-07-18,337561
2020-07-19,350039
2020-07-20,360386
2020-07-21,369826
2020-07-22,379611
2020-07-23,389860
2020-07-24,402304
2020-07-25,414503
2020-07-26,423847
2020-07-27,432739
2020-07-28,441969
2020-07-29,451415
2020-07-30,461371
2020-07-31,470378
2020-08-01,480020
2020-08-02,487124
2020-08-03,491876
2020-08-04,497322
2020-08-05,502731
2020-08-06,510381
2020-08-07,518067
2020-08-08,526569
2020-08-09,532798
2020-08-10,536953
2020-08-11,542784
2020-08-12,550893
2020-08-13,557129
2020-08-14,563277
2020-08-15,569629
2020-08-16,573408
2020-08-17,576086
2020-08-18,579924
2020-08-19,584039
2020-08-20,588594
2020-08-21,593278
2020-08-22,597589
2020-08-23,600563
2020-08-24,602821
2020-08-25,605494
2020-08-26,608714
2020-08-27,611983
2020-08-28,615798
2020-08-29,618995
2020-08-30,621578
2020-08-31,623463
2020-09-01,631032
2020-09-02,633434
2020-09-03,637005
2020-09-04,640203
2020-09-05,643859
2020-09-06,646423
2020-09-07,648261
2020-09-08,650084
2020-09-09,652140
2020-09-10,654723
2020-09-11,658373
2020-09-12,661563
2020-09-13,663986
2020-09-14,665722
2020-09-15,668838
2020-09-16,671193
2020-09-17,674448
2020-09-18,677652
2020-09-19,681225
2020-09-20,683746
2020-09-21,685431
2020-09-22,687901
2020-09-23,690491
2020-09-24,693032
2020-09-25,695879
2020-09-26,698674
2020-09-27,700556
2020-09-28,701294
2020-09-29,704560
2020-09-30,706508
2020-10-01,709136
2020-10-02,711796
2020-10-03,714583
2020-10-04,716451
2020-10-05,717866
2020-10-06,720117
2020-10-07,722699
2020-10-08,726005
2020-10-09,728913
2020-10-10,728913
2020-10-11,734483
2020-10-12,736016
2020-10-13,738741
2020-10-14,741624
2020-10-15,744980
2020-10-16,748429
2020-10-17,752473
2020-10-18,755012
2020-10-19,756719
2020-10-20,760381
2020-10-21,762525
2020-10-22,768083
2020-10-23,771772
2020-10-24,776243
2020-10-25,778628
2020-10-26,782005
2020-10-27,786303
2020-10-28,790418
2020-10-29,794616
2020-10-30,800208
2020-10-31,802539
2020-11-01,807404
2020-11-02,812055
2020-11-03,816692
2020-11-04,821115
2020-11-05,827372
2020-11-06,832617
2020-11-07,837069
2020-11-08,843889
2020-11-09,847813
2020-11-10,852166
2020-11-11,858004
2020-11-12,863611
2020-11-13,870544
2020-11-14,875088
2020-11-15,885193
2020-11-16,889856
2020-11-17,897315
2020-11-18,905240
2020-11-19,914325
2020-11-20,923410
2020-11-21,931819
2020-11-22,938406
2020-11-23,944737
2020-11-24,953292
2020-11-25,961668
2020-11-26,961668
2020-11-27,979012
2020-11-28,985289
2020-11-29,992652
2020-11-30,999311
2020-12-01,1008158
2020-12-02,1018152
2020-12-03,1029022
2020-12-04,1039199
2020-12-05,1049630
2020-12-06,1058066
2020-12-07,1065777
2020-12-08,1073762
2020-12-09,1083354
2020-12-10,1094689
2020-12-11,1106388
2020-12-12,1116965
2020-12-13,1125923
2020-12-14,1134375
2020-12-15,1143786
2020-12-16,1155327
2020-12-17,1168475
2020-12-18,1181475
2020-12-19,1193157
2020-12-20,1201558
2020-12-21,1212573
2020-12-22,1223007
2020-12-23,1234391
2020-12-24,1247538
2020-12-25,1247538
2020-12-26,1264580
2020-12-27,1271971
2020-12-28,1280169
2020-12-29,1292244
2020-12-30,1306115
2020-12-31,1323307
2021-01-01,1323307
2021-01-02,1354825
2021-01-03,1365428
2021-01-04,1376684
2021-01-05,1392115
2021-01-06,1409898
2021-01-07,1429714
2021-01-08,1449244
2021-01-09,1464689
2021-01-10,1477002
2021-01-11,1488578
2021-01-12,1503474
2021-01-13,1517464
2021-01-14,1531184
