date,cases
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,3
2020-03-07,7
2020-03-08,11
2020-03-09,17
2020-03-10,22
2020-03-11,31
2020-03-12,31
2020-03-13,41
2020-03-14,65
2020-03-15,97
2020-03-16,118
2020-03-17,142
2020-03-18,193
2020-03-19,282
2020-03-20,482
2020-03-21,552
2020-03-22,620
2020-03-23,800
2020-03-24,1095
2020-03-25,1385
2020-03-26,1641
2020-03-27,2198
2020-03-28,2447
2020-03-29,2683
2020-03-30,3032
2020-03-31,4116
2020-04-01,4747
2020-04-02,5444
2020-04-03,5967
2020-04-04,6383
2020-04-05,6742
2020-04-06,7558
2020-04-07,9156
2020-04-08,10204
2020-04-09,10885
2020-04-10,11859
2020-04-11,12261
2020-04-12,12103
2020-04-13,13125
2020-04-14,13913
2020-04-15,14583
2020-04-16,15644
2020-04-17,16658
2020-04-18,17014
2020-04-19,17619
2020-04-20,18447
2020-04-21,19189
2020-04-22,20099
2020-04-23,20905
2020-04-24,21575
2020-04-25,22225
2020-04-26,22459
2020-04-27,23229
2020-04-28,23607
2020-04-29,24300
2020-04-30,25431
2020-05-01,26436
2020-05-02,27268
2020-05-03,27618
2020-05-04,28350
2020-05-05,28876
2020-05-06,29724
2020-05-07,30524
2020-05-08,31089
2020-05-09,31481
2020-05-10,32267
2020-05-11,32448
2020-05-12,33311
2020-05-13,33866
2020-05-14,34422
2020-05-15,35242
2020-05-16,35655
2020-05-17,35954
2020-05-18,36634
2020-05-19,37214
2020-05-20,38162
2020-05-21,38969
2020-05-22,39734
2020-05-23,40408
2020-05-24,40989
2020-05-25,41414
2020-05-26,42066
2020-05-27,42713
2020-05-28,43363
2020-05-29,43888
2020-05-30,44336
2020-05-31,45051
2020-06-01,45757
2020-06-02,46063
2020-06-03,46711
2020-06-04,47528
2020-06-05,48280
2020-06-06,48943
2020-06-07,49371
2020-06-08,49995
2020-06-09,50769
2020-06-10,51465
2020-06-11,52332
2020-06-12,53201
2020-06-13,54178
2020-06-14,54874
2020-06-15,55505
2020-06-16,56302
2020-06-17,57217
2020-06-18,58040
2020-06-19,59117
2020-06-20,60669
2020-06-21,61493
2020-06-22,62705
2020-06-23,64577
2020-06-24,66290
2020-06-25,67796
2020-06-26,69542
2020-06-27,71066
2020-06-28,72800
2020-06-29,74816
2020-06-30,77280
2020-07-01,79589
2020-07-02,82475
2020-07-03,85079
2020-07-04,87592
2020-07-05,89489
2020-07-06,91015
2020-07-07,93707
2020-07-08,96538
2020-07-09,98693
2020-07-10,103597
2020-07-11,106574
2020-07-12,108389
2020-07-13,111937
2020-07-14,114579
2020-07-15,118147
2020-07-16,120848
2020-07-17,124267
2020-07-18,128341
2020-07-19,130794
2020-07-20,132788
2020-07-21,135865
2020-07-22,139120
2020-07-23,143857
2020-07-24,147732
2020-07-25,151262
2020-07-26,153476
2020-07-27,155907
2020-07-28,160038
2020-07-29,163547
2020-07-30,167545
2020-07-31,171342
2020-08-01,174834
2020-08-02,177556
2020-08-03,179510
2020-08-04,182462
2020-08-05,186395
2020-08-06,189300
2020-08-07,193276
2020-08-08,197308
2020-08-09,200147
2020-08-10,202276
2020-08-11,205920
2020-08-12,209683
2020-08-13,212009
2020-08-14,215328
2020-08-15,218344
2020-08-16,220165
2020-08-17,221841
2020-08-18,224681
2020-08-19,227255
2020-08-20,230288
2020-08-21,233169
2020-08-22,235783
2020-08-23,237402
2020-08-24,239612
2020-08-25,241865
2020-08-26,244494
2020-08-27,247017
2020-08-28,249317
2020-08-29,251676
2020-08-30,252813
2020-08-31,254238
2020-09-01,256544
2020-09-02,258482
2020-09-03,261056
2020-09-04,263047
2020-09-05,265215
2020-09-06,266707
2020-09-07,267238
2020-09-08,268684
2020-09-09,270624
2020-09-10,272588
2020-09-11,274242
2020-09-12,276319
2020-09-13,277715
2020-09-14,278699
2020-09-15,280356
2020-09-16,282363
2020-09-17,284219
2020-09-18,286170
2020-09-19,288059
2020-09-20,289096
2020-09-21,289975
2020-09-22,290930
2020-09-23,292797
2020-09-24,294334
2020-09-25,296089
2020-09-26,297553
2020-09-27,298321
2020-09-28,298963
2020-09-29,300019
2020-09-30,301485
2020-10-01,303010
2020-10-02,304406
2020-10-03,305941
2020-10-04,306778
2020-10-05,328127
2020-10-06,329101
2020-10-07,330769
2020-10-08,332142
2020-10-09,333934
2020-10-10,335351
2020-10-11,336586
2020-10-12,339577
2020-10-13,340758
2020-10-14,342302
2020-10-15,344093
2020-10-16,345879
2020-10-17,347468
2020-10-18,348773
2020-10-19,350654
2020-10-20,351990
2020-10-21,353449
2020-10-22,355156
2020-10-23,357319
2020-10-24,359001
2020-10-25,360344
2020-10-26,364275
2020-10-27,365498
2020-10-28,367126
2020-10-29,368840
2020-10-30,370157
2020-10-31,372631
2020-11-01,373700
2020-11-02,377261
2020-11-03,378894
2020-11-04,382113
2020-11-05,384531
2020-11-06,387202
2020-11-07,389257
2020-11-08,390617
2020-11-09,392246
2020-11-10,396498
2020-11-11,398769
2020-11-12,401750
2020-11-13,404577
2020-11-14,407596
2020-11-15,409504
2020-11-16,410581
2020-11-17,414821
2020-11-18,417934
2020-11-19,421381
2020-11-20,424759
2020-11-21,430687
2020-11-22,432954
2020-11-23,434916
2020-11-24,438441
2020-11-25,441737
2020-11-26,445204
2020-11-27,447942
2020-11-28,450627
2020-11-29,452322
2020-11-30,454328
2020-12-01,458985
2020-12-02,464417
2020-12-03,469955
2020-12-04,476181
2020-12-05,481126
2020-12-06,483106
2020-12-07,488225
2020-12-08,493558
2020-12-09,499299
2020-12-10,506802
2020-12-11,512715
2020-12-12,518973
2020-12-13,523580
2020-12-14,527157
2020-12-15,534488
2020-12-16,541086
2020-12-17,548646
2020-12-18,556615
2020-12-19,562479
2020-12-20,567654
2020-12-21,571301
2020-12-22,579957
2020-12-23,587472
2020-12-24,597753
2020-12-25,603246
2020-12-26,607133
2020-12-27,610574
2020-12-28,614716
2020-12-29,623901
2020-12-30,632861
2020-12-31,644065
2021-01-01,654950
2021-01-02,662077
2021-01-03,667705
2021-01-04,672849
2021-01-05,682749
2021-01-06,690137
2021-01-07,699806
2021-01-08,712785
2021-01-09,724317
2021-01-10,732121
2021-01-11,740078
2021-01-12,749417
2021-01-13,757993
2021-01-14,766917
