date,cases
2020-03-13,1
2020-03-14,5
2020-03-15,5
2020-03-16,5
2020-03-17,9
2020-03-18,11
2020-03-19,23
2020-03-20,31
2020-03-21,42
2020-03-22,47
2020-03-23,50
2020-03-24,73
2020-03-25,123
2020-03-26,189
2020-03-27,232
2020-03-28,262
2020-03-29,310
2020-03-30,415
2020-03-31,526
2020-04-01,669
2020-04-02,891
2020-04-03,1012
2020-04-04,1076
2020-04-05,1100
2020-04-06,1170
2020-04-07,1210
2020-04-08,1232
2020-04-09,1366
2020-04-10,1425
2020-04-11,1438
2020-04-12,1457
2020-04-13,1499
2020-04-14,1538
2020-04-15,1587
2020-04-16,1609
2020-04-17,1655
2020-04-18,1668
2020-04-19,1672
2020-04-20,1736
2020-04-21,1766
2020-04-22,1802
2020-04-23,1836
2020-04-24,1870
2020-04-25,1887
2020-04-26,1897
2020-04-27,1917
2020-04-28,1952
2020-04-29,1984
2020-04-30,2016
2020-05-01,2035
2020-05-02,2061
2020-05-03,2059
2020-05-04,2106
2020-05-05,2127
2020-05-06,2158
2020-05-07,2178
2020-05-08,2205
2020-05-09,2230
2020-05-10,2232
2020-05-11,2261
2020-05-12,2294
2020-05-13,2325
2020-05-14,2352
2020-05-15,2389
2020-05-16,2419
2020-05-17,2421
2020-05-18,2455
2020-05-19,2476
2020-05-20,2506
2020-05-21,2534
2020-05-22,2595
2020-05-23,2626
2020-05-24,2650
2020-05-25,2664
2020-05-26,2699
2020-05-27,2731
2020-05-28,2770
2020-05-29,2804
2020-05-30,2840
2020-05-31,2855
2020-06-01,2908
2020-06-02,2935
2020-06-03,2990
2020-06-04,3054
2020-06-05,3111
2020-06-06,3139
2020-06-07,3153
2020-06-08,3197
2020-06-09,3226
2020-06-10,3262
2020-06-11,3303
2020-06-12,3354
2020-06-13,3399
2020-06-14,3413
2020-06-15,3472
2020-06-16,3543
2020-06-17,3634
2020-06-18,3744
2020-06-19,3871
2020-06-20,4006
2020-06-21,4025
2020-06-22,4267
2020-06-23,4412
2020-06-24,4650
2020-06-25,4869
2020-06-26,5149
2020-06-27,5319
2020-06-28,5543
2020-06-29,5770
2020-06-30,6124
2020-07-01,6379
2020-07-02,6688
2020-07-03,7034
2020-07-04,7431
2020-07-05,7799
2020-07-06,8222
2020-07-07,8582
2020-07-08,9004
2020-07-09,9598
2020-07-10,10073
2020-07-11,10584
2020-07-12,10971
2020-07-13,11531
2020-07-14,11962
2020-07-15,12599
2020-07-16,13261
2020-07-17,13879
2020-07-18,14433
2020-07-19,14960
2020-07-20,15380
2020-07-21,15899
2020-07-22,16395
2020-07-23,16862
2020-07-24,17411
2020-07-25,17920
2020-07-26,18262
2020-07-27,18836
2020-07-28,19318
2020-07-29,19810
2020-07-30,20378
2020-07-31,20853
2020-08-01,21231
2020-08-02,21465
2020-08-03,21838
2020-08-04,22357
2020-08-05,22854
2020-08-06,23510
2020-08-07,24073
2020-08-08,24593
2020-08-09,24797
2020-08-10,25267
2020-08-11,25767
2020-08-12,26280
2020-08-13,26814
2020-08-14,27312
2020-08-15,27620
2020-08-16,27794
2020-08-17,28113
2020-08-18,28486
2020-08-19,28829
2020-08-20,29252
2020-08-21,29510
2020-08-22,29808
2020-08-23,29973
2020-08-24,30260
2020-08-25,30648
2020-08-26,30968
2020-08-27,31326
2020-08-28,31643
2020-08-29,31874
2020-08-30,32034
2020-08-31,32256
2020-09-01,32703
2020-09-02,33059
2020-09-03,33361
2020-09-04,33628
2020-09-05,33884
2020-09-06,34053
2020-09-07,34153
