date,cases
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,5
2020-03-13,6
2020-03-14,8
2020-03-15,9
2020-03-16,11
2020-03-17,17
2020-03-18,22
2020-03-19,35
2020-03-20,49
2020-03-21,57
2020-03-22,66
2020-03-23,82
2020-03-24,102
2020-03-25,134
2020-03-26,173
2020-03-27,213
2020-03-28,272
2020-03-29,333
2020-03-30,374
2020-03-31,435
2020-04-01,489
2020-04-02,554
2020-04-03,625
2020-04-04,702
2020-04-05,769
2020-04-06,854
2020-04-07,905
2020-04-08,1055
2020-04-09,1116
2020-04-10,1180
2020-04-11,1282
2020-04-12,1337
2020-04-13,1384
2020-04-14,1440
2020-04-15,1503
2020-04-16,1595
2020-04-17,1732
2020-04-18,1820
2020-04-19,1897
2020-04-20,2030
2020-04-21,2114
2020-04-22,2291
2020-04-23,2626
2020-04-24,2842
2020-04-25,3091
2020-04-26,3198
2020-04-27,3407
2020-04-28,3601
2020-04-29,3811
2020-04-30,4305
2020-05-01,4510
2020-05-02,4863
2020-05-03,5177
2020-05-04,5385
2020-05-05,5627
2020-05-06,5893
2020-05-07,6240
2020-05-08,6751
2020-05-09,6923
2020-05-10,7045
2020-05-11,7161
2020-05-12,7352
2020-05-13,7552
2020-05-14,7668
2020-05-15,8006
2020-05-16,8059
2020-05-17,8066
2020-05-18,8439
2020-05-19,8488
2020-05-20,8661
2020-05-21,8771
2020-05-22,9068
2020-05-23,9119
2020-05-24,9135
2020-05-25,9272
2020-05-26,9352
2020-05-27,9453
2020-05-28,9513
2020-05-29,9826
2020-05-30,9847
2020-05-31,9878
2020-06-01,10103
2020-06-02,10143
2020-06-03,10281
2020-06-04,10332
2020-06-05,10493
2020-06-06,10517
2020-06-07,10549
2020-06-08,10724
2020-06-09,10786
2020-06-10,10931
2020-06-11,10984
2020-06-12,11152
2020-06-13,11195
2020-06-14,11247
2020-06-15,11516
2020-06-16,11569
2020-06-17,11801
2020-06-18,11886
2020-06-19,12168
2020-06-20,12218
2020-06-21,12258
2020-06-22,12576
