date,cases
2020-03-06,1
2020-03-07,1
2020-03-08,4
2020-03-09,5
2020-03-10,7
2020-03-11,7
2020-03-12,11
2020-03-13,11
2020-03-14,18
2020-03-15,21
2020-03-16,22
2020-03-17,26
2020-03-18,35
2020-03-19,47
2020-03-20,63
2020-03-21,84
2020-03-22,103
2020-03-23,124
2020-03-24,157
2020-03-25,198
2020-03-26,248
2020-03-27,302
2020-03-28,394
2020-03-29,439
2020-03-30,480
2020-03-31,590
2020-04-01,674
2020-04-02,747
2020-04-03,762
2020-04-04,909
2020-04-05,1048
2020-04-06,1057
2020-04-07,1289
2020-04-08,1393
2020-04-09,1525
2020-04-10,1702
2020-04-11,1851
2020-04-12,1963
2020-04-13,2048
2020-04-14,2210
2020-04-15,2295
2020-04-16,2429
2020-04-17,2522
2020-04-18,2707
2020-04-19,2960
2020-04-20,3050
2020-04-21,3193
2020-04-22,3373
2020-04-23,3548
2020-04-24,3779
2020-04-25,3905
2020-04-26,4074
2020-04-27,4146
2020-04-28,4375
2020-04-29,4538
2020-04-30,4708
2020-05-01,4879
2020-05-02,4881
2020-05-03,5223
2020-05-04,5370
2020-05-05,5822
2020-05-06,5946
2020-05-07,6173
2020-05-08,6298
2020-05-09,6469
2020-05-10,6486
2020-05-11,6710
2020-05-12,7003
2020-05-13,7102
2020-05-14,7397
2020-05-15,7578
2020-05-16,7773
2020-05-17,7793
2020-05-18,8041
2020-05-19,8205
2020-05-20,8336
2020-05-21,8475
2020-05-22,8688
2020-05-23,8812
2020-05-24,8842
2020-05-25,8899
2020-05-26,9175
2020-05-27,9313
2020-05-28,9510
2020-05-29,9688
2020-05-30,9887
2020-05-31,9937
2020-06-01,10150
2020-06-02,10287
2020-06-03,10485
2020-06-04,10781
2020-06-05,11051
2020-06-06,11359
2020-06-07,11393
2020-06-08,11701
2020-06-09,11891
2020-06-10,12029
2020-06-11,12128
2020-06-12,12352
2020-06-13,12605
2020-06-14,12652
2020-06-15,12863
2020-06-16,12899
2020-06-17,13190
2020-06-18,13391
2020-06-19,13629
2020-06-20,13800
2020-06-21,13919
2020-06-22,14073
2020-06-23,14323
2020-06-24,14522
2020-06-25,14793
2020-06-26,15033
2020-06-27,15337
2020-06-28,15480
2020-06-29,15657
2020-06-30,15916
