date,cases
2020-03-09,1
2020-03-10,6
2020-03-11,13
2020-03-12,14
2020-03-13,36
2020-03-14,77
2020-03-15,103
2020-03-16,137
2020-03-17,196
2020-03-18,280
2020-03-19,392
2020-03-20,537
2020-03-21,763
2020-03-22,837
2020-03-23,1172
2020-03-24,1388
2020-03-25,1795
2020-03-26,2305
2020-03-27,2746
2020-03-28,3315
2020-03-29,3539
2020-03-30,4024
2020-03-31,5237
2020-04-01,6424
2020-04-02,9152
2020-04-03,10299
2020-04-04,12500
2020-04-05,13014
2020-04-06,14867
2020-04-07,16284
2020-04-08,17030
2020-04-09,18283
2020-04-10,19253
2020-04-11,20014
2020-04-12,20595
2020-04-13,21016
2020-04-14,21518
2020-04-15,21951
2020-04-16,22532
2020-04-17,23118
2020-04-18,23580
2020-04-19,23928
2020-04-20,24523
2020-04-21,24854
2020-04-22,25317
2020-04-23,25798
2020-04-24,26199
2020-04-25,26571
2020-04-26,26832
2020-04-27,27111
2020-04-28,27329
2020-04-29,27703
2020-04-30,28044
2020-05-01,28754
2020-05-02,29183
2020-05-03,29383
2020-05-04,29746
2020-05-05,30069
2020-05-06,30472
2020-05-07,30725
2020-05-08,30928
2020-05-09,31490
2020-05-10,31673
2020-05-11,31881
2020-05-12,32116
2020-05-13,32728
2020-05-14,33555
2020-05-15,33903
2020-05-16,34183
2020-05-17,34498
2020-05-18,34832
2020-05-19,35161
2020-05-20,35439
2020-05-21,36627
2020-05-22,37048
2020-05-23,37165
2020-05-24,37293
2020-05-25,37916
2020-05-26,38252
2020-05-27,38694
2020-05-28,38907
2020-05-29,38907
2020-05-30,39682
2020-05-31,40021
2020-06-01,40452
2020-06-02,40857
2020-06-03,41244
2020-06-04,41673
2020-06-05,42100
2020-06-06,42597
2020-06-07,42927
2020-06-08,43163
2020-06-09,43725
2020-06-10,44143
2020-06-11,44585
2020-06-12,45108
2020-06-13,46396
2020-06-14,46732
2020-06-15,47284
2020-06-16,47818
2020-06-17,48746
2020-06-18,49506
2020-06-19,48627
2020-06-20,49497
2020-06-21,49890
2020-06-22,50352
2020-06-23,51708
2020-06-24,52590
2020-06-25,53528
2020-06-26,54882
