date,cases
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,3
2020-03-06,8
2020-03-07,13
2020-03-08,28
2020-03-09,41
2020-03-10,92
2020-03-11,95
2020-03-12,108
2020-03-13,123
2020-03-14,138
2020-03-15,164
2020-03-16,197
2020-03-17,218
2020-03-18,256
2020-03-19,328
2020-03-20,413
2020-03-21,525
2020-03-22,646
2020-03-23,777
2020-03-24,1159
2020-03-25,1838
2020-03-26,2417
2020-03-27,3240
2020-03-28,4257
2020-03-29,4955
2020-03-30,5752
2020-03-31,6620
2020-04-01,7738
2020-04-02,8966
2020-04-03,10402
2020-04-04,11736
2020-04-05,12500
2020-04-06,13837
2020-04-07,15202
2020-04-08,16790
2020-04-09,18941
2020-04-10,20974
2020-04-11,22860
2020-04-12,25475
2020-04-13,26867
2020-04-14,28163
2020-04-15,29918
2020-04-16,32181
2020-04-17,34402
2020-04-18,36372
2020-04-19,38077
2020-04-20,39643
2020-04-21,41199
2020-04-22,42944
2020-04-23,46023
2020-04-24,50969
2020-04-25,53348
2020-04-26,54938
2020-04-27,56462
2020-04-28,58302
2020-04-29,60265
2020-04-30,62205
2020-05-01,64311
2020-05-02,66263
2020-05-03,68087
2020-05-04,69087
2020-05-05,70271
2020-05-06,72025
2020-05-07,73721
2020-05-08,75333
2020-05-09,76743
2020-05-10,77793
2020-05-11,78462
2020-05-12,79332
2020-05-13,80497
2020-05-14,82182
2020-05-15,83421
2020-05-16,84933
2020-05-17,86010
