date,cases
2020-03-10,2
2020-03-11,2
2020-03-12,12
2020-03-13,25
2020-03-14,33
2020-03-15,53
2020-03-16,54
2020-03-17,65
2020-03-18,80
2020-03-19,334
2020-03-20,548
2020-03-21,787
2020-03-22,1033
2020-03-23,1324
2020-03-24,1791
2020-03-25,2293
2020-03-26,2877
2020-03-27,3655
2020-03-28,4634
2020-03-29,5486
2020-03-30,6508
2020-03-31,7629
2020-04-01,9292
2020-04-02,10791
2020-04-03,12669
2020-04-04,14225
2020-04-05,15633
2020-04-06,17129
2020-04-07,18851
2020-04-08,20220
2020-04-09,21375
2020-04-10,22646
2020-04-11,23855
2020-04-12,24496
2020-04-13,25490
2020-04-14,26845
2020-04-15,27894
2020-04-16,29120
2020-04-17,29954
2020-04-18,30718
2020-04-19,31349
2020-04-20,31929
2020-04-21,32936
2020-04-22,33973
2020-04-23,35253
2020-04-24,36628
2020-04-25,37302
2020-04-26,38003
2020-04-27,38457
2020-04-28,39469
2020-04-29,40443
2020-04-30,41348
2020-05-01,42348
2020-05-02,43191
2020-05-03,43803
2020-05-04,43996
2020-05-05,44391
2020-05-06,45079
2020-05-07,45643
2020-05-08,46319
2020-05-09,46735
2020-05-10,47116
2020-05-11,47526
2020-05-12,47946
2020-05-13,48307
2020-05-14,49489
2020-05-15,49982
2020-05-16,50416
2020-05-17,51054
2020-05-18,51853
2020-05-19,52337
2020-05-20,52988
2020-05-21,53468
2020-05-22,53865
2020-05-23,54304
2020-05-24,54616
2020-05-25,54816
2020-05-26,55040
2020-05-27,55544
2020-05-28,55944
2020-05-29,56589
2020-05-30,56848
2020-05-31,57355
2020-06-01,58435
2020-06-02,58680
2020-06-03,58990
2020-06-04,59215
2020-06-05,63744
2020-06-06,64196
2020-06-07,64615
2020-06-08,64911
2020-06-09,65190
2020-06-10,65377
2020-06-11,65627
2020-06-12,65881
2020-06-13,66024
2020-06-14,66246
2020-06-15,66302
2020-06-16,66466
2020-06-17,66694
2020-06-18,66980
2020-06-19,67300
2020-06-20,67721
2020-06-21,67873
2020-06-22,68144
2020-06-23,68373
2020-06-24,68711
2020-06-25,69159
2020-06-26,69473
2020-06-27,69802
2020-06-28,70042
2020-06-29,70356
2020-06-30,70850
2020-07-01,71279
2020-07-02,71853
2020-07-03,72306
2020-07-04,72702
2020-07-05,73027
2020-07-06,73403
2020-07-07,74011
2020-07-08,74660
2020-07-09,75247
2020-07-10,75871
2020-07-11,76499
2020-07-12,76936
2020-07-13,77354
2020-07-14,78045
2020-07-15,79081
2020-07-16,79977
2020-07-17,80752
2020-07-18,81384
2020-07-19,81935
2020-07-20,82486
2020-07-21,83184
2020-07-22,83891
2020-07-23,84585
2020-07-24,85238
2020-07-25,85665
2020-07-26,86750
2020-07-27,87329
2020-07-28,88025
2020-07-29,89026
2020-07-30,89926
2020-07-31,90752
2020-08-01,91450
2020-08-02,91857
2020-08-03,92503
2020-08-04,93293
2020-08-05,94045
2020-08-06,94819
2020-08-07,95632
2020-08-08,96328
2020-08-09,96835
2020-08-10,97472
2020-08-11,98361
2020-08-12,98825
2020-08-13,99963
2020-08-14,100813
2020-08-15,101831
2020-08-16,102323
2020-08-17,102872
2020-08-18,103527
2020-08-19,104235
2020-08-20,104771
2020-08-21,104829
2020-08-22,106141
2020-08-23,106875
2020-08-24,107816
2020-08-25,108742
2020-08-26,109645
2020-08-27,110491
2020-08-28,111303
2020-08-29,112104
2020-08-30,112598
2020-08-31,113163
2020-09-01,113969
2020-09-02,114603
2020-09-03,115393
2020-09-04,116470
2020-09-05,117267
2020-09-06,117310
2020-09-07,118388
2020-09-08,118984
2020-09-09,119952
2020-09-10,120896
2020-09-11,122319
2020-09-12,123048
2020-09-13,123075
2020-09-14,124276
2020-09-15,124978
2020-09-16,125782
2020-09-17,126794
2020-09-18,127558
2020-09-19,128112
2020-09-20,128148
2020-09-21,129655
2020-09-22,130406
2020-09-23,131292
2020-09-24,132400
2020-09-25,133443
2020-09-26,134372
2020-09-27,134409
2020-09-28,135782
2020-09-29,136899
2020-09-30,138074
2020-10-01,139064
2020-10-02,140057
2020-10-03,141236
2020-10-04,141287
2020-10-05,142757
2020-10-06,143901
2020-10-07,145131
2020-10-08,146548
2020-10-09,147880
2020-10-10,149406
2020-10-11,149448
2020-10-12,151284
2020-10-13,152842
2020-10-14,154409
2020-10-15,156926
2020-10-16,159144
2020-10-17,159259
2020-10-18,159337
2020-10-19,164055
2020-10-20,165949
2020-10-21,167857
2020-10-22,170102
2020-10-23,172128
2020-10-24,175385
2020-10-25,175515
2020-10-26,179624
2020-10-27,182284
2020-10-28,185818
2020-10-29,189926
2020-10-30,193360
2020-10-31,197164
2020-11-01,197501
2020-11-02,204135
2020-11-03,207799
2020-11-04,212126
2020-11-05,218136
2020-11-06,222423
2020-11-07,228706
2020-11-08,229085
2020-11-09,238136
2020-11-10,245005
2020-11-11,251499
2020-11-12,258973
2020-11-13,268072
2020-11-14,275393
2020-11-15,275892
2020-11-16,288543
2020-11-17,296436
2020-11-18,302541
2020-11-19,310396
2020-11-20,320621
2020-11-21,328178
2020-11-22,328833
2020-11-23,340223
2020-11-24,347076
2020-11-25,352052
2020-11-26,352342
2020-11-27,369022
2020-11-28,377279
2020-11-29,377596
2020-11-30,388364
2020-12-01,394838
2020-12-02,402255
2020-12-03,410379
2020-12-04,419704
2020-12-05,425776
2020-12-06,426124
2020-12-07,435681
2020-12-08,442504
2020-12-09,447817
2020-12-10,454180
2020-12-11,459811
2020-12-12,464368
2020-12-13,464606
2020-12-14,472166
2020-12-15,477613
2020-12-16,482217
2020-12-17,486831
2020-12-18,491339
2020-12-19,495282
2020-12-20,495458
2020-12-21,500461
2020-12-22,503980
2020-12-23,507775
2020-12-24,508029
2020-12-25,508171
2020-12-26,515484
2020-12-27,515576
2020-12-28,519291
2020-12-29,523085
2020-12-30,526932
2020-12-31,527199
2021-01-01,527376
2021-01-02,535815
2021-01-03,536037
2021-01-04,541721
2021-01-05,544858
2021-01-06,549467
2021-01-07,553776
2021-01-08,557674
2021-01-09,560419
2021-01-10,560475
2021-01-11,565845
2021-01-12,568523
2021-01-13,571638
2021-01-14,575306
