date,cases
2020-03-11,1
2020-03-12,1
2020-03-13,6
2020-03-14,6
2020-03-15,10
2020-03-16,12
2020-03-17,21
2020-03-18,34
2020-03-19,50
2020-03-20,80
2020-03-21,140
2020-03-22,207
2020-03-23,249
2020-03-24,320
2020-03-25,376
2020-03-26,486
2020-03-27,579
2020-03-28,669
2020-03-29,759
2020-03-30,848
2020-03-31,937
2020-04-01,1073
2020-04-02,1177
2020-04-03,1358
2020-04-04,1455
2020-04-05,1638
2020-04-06,1738
2020-04-07,1915
2020-04-08,2003
2020-04-09,2260
2020-04-10,2469
2020-04-11,2642
2020-04-12,2781
2020-04-13,2942
2020-04-14,3087
2020-04-15,3360
2020-04-16,3624
2020-04-17,3793
2020-04-18,3974
2020-04-19,4274
2020-04-20,4512
2020-04-21,4716
2020-04-22,4894
2020-04-23,5153
2020-04-24,5434
2020-04-25,5718
2020-04-26,5911
2020-04-27,6094
2020-04-28,6342
2020-04-29,6569
2020-04-30,6815
2020-05-01,7212
2020-05-02,7441
2020-05-03,7550
2020-05-04,7877
2020-05-05,8207
2020-05-06,8424
2020-05-07,8686
2020-05-08,9090
2020-05-09,9378
2020-05-10,9501
2020-05-11,9674
2020-05-12,9908
2020-05-13,10090
2020-05-14,10483
2020-05-15,10801
2020-05-16,11123
2020-05-17,11296
2020-05-18,11432
2020-05-19,11704
2020-05-20,11967
2020-05-21,12222
2020-05-22,12624
2020-05-23,13005
2020-05-24,13252
2020-05-25,13458
2020-05-26,13731
2020-05-27,14044
2020-05-28,14372
2020-05-29,14790
2020-05-30,15229
2020-05-31,15501
2020-06-01,15752
2020-06-02,16020
2020-06-03,16322
2020-06-04,16560
2020-06-05,16769
2020-06-06,17034
2020-06-07,17270
2020-06-08,17768
2020-06-09,18109
2020-06-10,18483
2020-06-11,18483
2020-06-12,19091
2020-06-13,19348
2020-06-14,19516
2020-06-15,19799
2020-06-16,20152
2020-06-17,20641
2020-06-18,21022
2020-06-19,21022
2020-06-20,21022
2020-06-21,21022
2020-06-22,22287
2020-06-23,22898
2020-06-24,23424
2020-06-25,24516
2020-06-26,25066
2020-06-27,25531
2020-06-28,25899
2020-06-29,26568
2020-06-30,27248
2020-07-01,27900
2020-07-02,28770
2020-07-03,29684
2020-07-04,30674
2020-07-05,30900
2020-07-06,31257
2020-07-07,32214
2020-07-08,32888
2020-07-09,33591
2020-07-10,34622
2020-07-11,35419
2020-07-12,36287
2020-07-13,36680
2020-07-14,37542
2020-07-15,38567
2020-07-16,39797
2020-07-17,40829
2020-07-18,41846
2020-07-19,42638
2020-07-20,43889
2020-07-21,45524
2020-07-22,47071
2020-07-23,48053
2020-07-24,49663
2020-07-25,51097
2020-07-26,52304
2020-07-27,52957
2020-07-28,54299
2020-07-29,55804
2020-07-30,57579
2020-07-31,58747
2020-08-01,59881
2020-08-02,60553
2020-08-03,61125
2020-08-04,62199
2020-08-05,63444
2020-08-06,64400
2020-08-07,65436
2020-08-08,66646
2020-08-09,67173
2020-08-10,67649
2020-08-11,68293
2020-08-12,69374
2020-08-13,69986
2020-08-14,70930
2020-08-15,71755
2020-08-16,72136
2020-08-17,72412
2020-08-18,73207
2020-08-19,74555
2020-08-20,75449
2020-08-21,76323
2020-08-22,77268
