date,cases
2020-03-13,4
2020-03-14,6
2020-03-15,6
2020-03-16,8
2020-03-17,8
2020-03-18,12
2020-03-19,19
2020-03-20,19
2020-03-21,29
2020-03-22,34
2020-03-23,45
2020-03-24,51
2020-03-25,65
2020-03-26,90
2020-03-27,121
2020-03-28,147
2020-03-29,161
2020-03-30,177
2020-03-31,198
2020-04-01,219
2020-04-02,241
2020-04-03,262
2020-04-04,281
2020-04-05,298
2020-04-06,319
2020-04-07,319
2020-04-08,332
2020-04-09,354
2020-04-10,365
2020-04-11,377
2020-04-12,387
2020-04-13,394
2020-04-14,399
2020-04-15,404
2020-04-16,415
2020-04-17,422
2020-04-18,426
2020-04-19,433
2020-04-20,433
2020-04-21,437
2020-04-22,439
2020-04-23,442
2020-04-24,444
2020-04-25,445
2020-04-26,448
2020-04-27,449
2020-04-28,451
2020-04-29,451
2020-04-30,452
2020-05-01,452
2020-05-02,454
2020-05-03,454
2020-05-04,456
2020-05-05,456
2020-05-06,456
2020-05-07,456
2020-05-08,458
2020-05-09,458
2020-05-10,458
2020-05-11,459
2020-05-12,461
2020-05-13,462
2020-05-14,462
2020-05-15,466
2020-05-16,468
2020-05-17,468
2020-05-18,470
2020-05-19,471
2020-05-20,478
2020-05-21,479
2020-05-22,479
2020-05-23,479
2020-05-24,479
2020-05-25,479
2020-05-26,479
2020-05-27,481
2020-05-28,485
2020-05-29,493
2020-05-30,505
2020-05-31,515
2020-06-01,519
2020-06-02,523
2020-06-03,525
2020-06-04,537
2020-06-05,539
2020-06-06,540
2020-06-07,545
2020-06-08,548
2020-06-09,554
2020-06-10,561
2020-06-11,563
2020-06-12,573
2020-06-13,588
2020-06-14,601
2020-06-15,609
2020-06-16,614
2020-06-17,630
2020-06-18,655
2020-06-19,666
2020-06-20,698
2020-06-21,717
2020-06-22,734
2020-06-23,743
2020-06-24,766
2020-06-25,803
2020-06-26,829
2020-06-27,852
2020-06-28,863
2020-06-29,919
2020-06-30,967
2020-07-01,1016
2020-07-02,1083
2020-07-03,1128
2020-07-04,1167
2020-07-05,1212
2020-07-06,1249
2020-07-07,1327
2020-07-08,1371
2020-07-09,1466
2020-07-10,1593
2020-07-11,1677
2020-07-12,1758
2020-07-13,1908
2020-07-14,2038
2020-07-15,2149
2020-07-16,2265
2020-07-17,2383
2020-07-18,2471
2020-07-19,2533
2020-07-20,2640
2020-07-21,2741
2020-07-22,2840
2020-07-23,2924
2020-07-24,3113
2020-07-25,3260
2020-07-26,3342
2020-07-27,3406
2020-07-28,3491
2020-07-29,3695
2020-07-30,3829
2020-07-31,3977
2020-08-01,4081
2020-08-02,4193
2020-08-03,4249
2020-08-04,4360
2020-08-05,4481
2020-08-06,4621
2020-08-07,4771
2020-08-08,4889
2020-08-09,4952
2020-08-10,5032
2020-08-11,5125
2020-08-12,5292
2020-08-13,5430
2020-08-14,5564
2020-08-15,5663
2020-08-16,5751
2020-08-17,5810
2020-08-18,5867
2020-08-19,5976
2020-08-20,6095
2020-08-21,6239
2020-08-22,6392
2020-08-23,6444
2020-08-24,6510
2020-08-25,6649
2020-08-26,6807
2020-08-27,6960
2020-08-28,7086
2020-08-29,7256
2020-08-30,7340
2020-08-31,7440
2020-09-01,7526
2020-09-02,7715
2020-09-03,7903
2020-09-04,8046
2020-09-05,8178
2020-09-06,8272
2020-09-07,8340
2020-09-08,8409
2020-09-09,8499
2020-09-10,8694
2020-09-11,8817
2020-09-12,8946
2020-09-13,9037
2020-09-14,9164
2020-09-15,9281
2020-09-16,9487
2020-09-17,9721
2020-09-18,9934
2020-09-19,10193
2020-09-20,10325
2020-09-21,10509
2020-09-22,10792
2020-09-23,11034
2020-09-24,11381
2020-09-25,11656
2020-09-26,11943
2020-09-27,12126
2020-09-28,12538
2020-09-29,12825
2020-09-30,13179
2020-10-01,13626
2020-10-02,14044
2020-10-03,14490
2020-10-04,14738
2020-10-05,15127
2020-10-06,15633
2020-10-07,16194
2020-10-08,16766
2020-10-09,17478
2020-10-10,18118
2020-10-11,18733
2020-10-12,19205
2020-10-13,19682
2020-10-14,20321
2020-10-15,21043
2020-10-16,21674
2020-10-17,22284
2020-10-18,22821
2020-10-19,23503
2020-10-20,24201
2020-10-21,24818
2020-10-22,25736
2020-10-23,26600
2020-10-24,27149
2020-10-25,27880
2020-10-26,28580
2020-10-27,29422
2020-10-28,30051
2020-10-29,30932
2020-10-30,31995
2020-10-31,32801
2020-11-01,33495
2020-11-02,34317
2020-11-03,35222
2020-11-04,36012
2020-11-05,37024
2020-11-06,38012
2020-11-07,38948
2020-11-08,39679
2020-11-09,40118
