date,cases
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,2
2020-03-09,7
2020-03-10,7
2020-03-11,8
2020-03-12,16
2020-03-13,18
2020-03-14,25
2020-03-15,32
2020-03-16,34
2020-03-17,42
2020-03-18,66
2020-03-19,104
2020-03-20,144
2020-03-21,184
2020-03-22,269
2020-03-23,302
2020-03-24,397
2020-03-25,562
2020-03-26,639
2020-03-27,784
2020-03-28,972
2020-03-29,1166
2020-03-30,1303
2020-03-31,1527
2020-04-01,1591
2020-04-02,1858
2020-04-03,2093
2020-04-04,2402
2020-04-05,2585
2020-04-06,2870
2020-04-07,3220
2020-04-08,3423
2020-04-09,3651
2020-04-10,3906
2020-04-11,4310
2020-04-12,4520
2020-04-13,4788
2020-04-14,4992
2020-04-15,5123
2020-04-16,5463
2020-04-17,5859
2020-04-18,6140
2020-04-19,6493
2020-04-20,6764
2020-04-21,6951
2020-04-22,7220
2020-04-23,7608
2020-04-24,8052
2020-04-25,8548
2020-04-26,8830
2020-04-27,9035
2020-04-28,9568
2020-04-29,9947
2020-04-30,10507
2020-05-01,10922
2020-05-02,11514
2020-05-03,11668
2020-05-04,11871
2020-05-05,12283
2020-05-06,12783
2020-05-07,13431
2020-05-08,13879
2020-05-09,14387
2020-05-10,14783
2020-05-11,15069
2020-05-12,15402
2020-05-13,15850
2020-05-14,16593
2020-05-15,17190
2020-05-16,18009
2020-05-17,18537
2020-05-18,19121
2020-05-19,19762
2020-05-20,20221
2020-05-21,20934
2020-05-22,21661
2020-05-23,22731
2020-05-24,23231
2020-05-25,23997
2020-05-26,24188
2020-05-27,24787
2020-05-28,25616
2020-05-29,26735
2020-05-30,27761
2020-05-31,28686
2020-06-01,29368
2020-06-02,30052
2020-06-03,31013
2020-06-04,32276
2020-06-05,33417
2020-06-06,34809
2020-06-07,35663
2020-06-08,36581
2020-06-09,37393
2020-06-10,38305
2020-06-11,39735
2020-06-12,41467
2020-06-13,42911
2020-06-14,44199
2020-06-15,45257
2020-06-16,46105
2020-06-17,47142
2020-06-18,48426
2020-06-19,50014
2020-06-20,51640
2020-06-21,52854
2020-06-22,53840
2020-06-23,54826
2020-06-24,56263
2020-06-25,57540
2020-06-26,59257
2020-06-27,60709
2020-06-28,62178
2020-06-29,63692
2020-06-30,65064
2020-07-01,66815
2020-07-02,68512
2020-07-03,70451
2020-07-04,71735
2020-07-05,73096
2020-07-06,74933
2020-07-07,76188
2020-07-08,77661
2020-07-09,79564
2020-07-10,81737
2020-07-11,83996
2020-07-12,85831
2020-07-13,87653
2020-07-14,89767
2020-07-15,91573
2020-07-16,93657
2020-07-17,95633
2020-07-18,98067
2020-07-19,99841
2020-07-20,101176
2020-07-21,103047
2020-07-22,105138
2020-07-23,107050
2020-07-24,109206
2020-07-25,111282
2020-07-26,112802
2020-07-27,114612
2020-07-28,116300
2020-07-29,118027
2020-07-30,120391
2020-07-31,122370
2020-08-01,124015
2020-08-02,125281
2020-08-03,126748
2020-08-04,128236
2020-08-05,129454
2020-08-06,131478
2020-08-07,133033
2020-08-08,134915
2020-08-09,136250
2020-08-10,137006
2020-08-11,138074
2020-08-12,139413
2020-08-13,141006
2020-08-14,142544
2020-08-15,143956
2020-08-16,145111
2020-08-17,145942
2020-08-18,147141
2020-08-19,148491
2020-08-20,150422
2020-08-21,152344
2020-08-22,153966
2020-08-23,155390
2020-08-24,156927
2020-08-25,158185
2020-08-26,159708
2020-08-27,161715
2020-08-28,163154
2020-08-29,165533
2020-08-30,166510
2020-08-31,167989
2020-09-01,169966
2020-09-02,171140
2020-09-03,172791
2020-09-04,174848
2020-09-05,176124
2020-09-06,177141
2020-09-07,178212
2020-09-08,179150
2020-09-09,180061
2020-09-10,181335
2020-09-11,182934
2020-09-12,184305
2020-09-13,185325
2020-09-14,186447
2020-09-15,187486
2020-09-16,188800
2020-09-17,190307
2020-09-18,191672
2020-09-19,192751
2020-09-20,193978
2020-09-21,195093
2020-09-22,196258
2020-09-23,197431
2020-09-24,199236
2020-09-25,204658
2020-09-26,206241
2020-09-27,207407
2020-09-28,208497
2020-09-29,209384
2020-09-30,211004
2020-10-01,213218
2020-10-02,215035
2020-10-03,217049
2020-10-04,217641
2020-10-05,220045
2020-10-06,221438
2020-10-07,223349
2020-10-08,225738
2020-10-09,227756
2020-10-10,229959
2020-10-11,231564
2020-10-12,233059
2020-10-13,234842
2020-10-14,236812
2020-10-15,239338
2020-10-16,242032
2020-10-17,244020
2020-10-18,246116
2020-10-19,247551
2020-10-20,249158
2020-10-21,251010
2020-10-22,253418
2020-10-23,255534
2020-10-24,258439
2020-10-25,260128
2020-10-26,262159
2020-10-27,264334
2020-10-28,266566
2020-10-29,269419
2020-10-30,272231
2020-10-31,274805
2020-11-01,276706
2020-11-02,278477
2020-11-03,280657
2020-11-04,283280
2020-11-05,286210
2020-11-06,289124
2020-11-07,291563
2020-11-08,293431
2020-11-09,295105
2020-11-10,298089
2020-11-11,300725
2020-11-12,303931
2020-11-13,306498
2020-11-14,309703
2020-11-15,312406
2020-11-16,315314
2020-11-17,318537
2020-11-18,322258
2020-11-19,325658
