date,cases
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,5
2020-03-18,7
2020-03-19,19
2020-03-20,27
2020-03-21,28
2020-03-22,30
2020-03-23,32
2020-03-24,37
2020-03-25,45
2020-03-26,58
2020-03-27,68
2020-03-28,93
2020-03-29,97
2020-03-30,109
2020-03-31,126
2020-04-01,147
2020-04-02,159
2020-04-03,173
2020-04-04,186
2020-04-05,207
2020-04-06,225
2020-04-07,237
2020-04-08,251
2020-04-09,269
2020-04-10,278
2020-04-11,293
2020-04-12,308
2020-04-13,331
2020-04-14,341
2020-04-15,365
2020-04-16,393
2020-04-17,439
2020-04-18,528
2020-04-19,585
2020-04-20,627
2020-04-21,644
2020-04-22,679
2020-04-23,709
2020-04-24,748
2020-04-25,803
2020-04-26,867
2020-04-27,942
2020-04-28,991
2020-04-29,1033
2020-04-30,1067
2020-05-01,1107
2020-05-02,1153
2020-05-03,1191
2020-05-04,1225
2020-05-05,1266
2020-05-06,1323
2020-05-07,1371
2020-05-08,1425
2020-05-09,1464
2020-05-10,1491
2020-05-11,1518
2020-05-12,1571
2020-05-13,1647
2020-05-14,1712
2020-05-15,1761
2020-05-16,1848
2020-05-17,1900
2020-05-18,1931
2020-05-19,1994
2020-05-20,2095
2020-05-21,2229
2020-05-22,2317
2020-05-23,2365
2020-05-24,2418
2020-05-25,2457
2020-05-26,2422
2020-05-27,2442
2020-05-28,2484
2020-05-29,2523
2020-05-30,2557
2020-05-31,2580
2020-06-01,2628
2020-06-02,2649
2020-06-03,2682
2020-06-04,2709
2020-06-05,2748
2020-06-06,2819
2020-06-07,2864
2020-06-08,2883
2020-06-09,2904
2020-06-10,2944
2020-06-11,2983
2020-06-12,3019
2020-06-13,3061
2020-06-14,3083
2020-06-15,3104
2020-06-16,3127
2020-06-17,3170
2020-06-18,3199
2020-06-19,3232
2020-06-20,3257
2020-06-21,3294
2020-06-22,3319
2020-06-23,3326
2020-06-24,3370
2020-06-25,3402
2020-06-26,3430
2020-06-27,3467
2020-06-28,3504
2020-06-29,3548
2020-06-30,3585
2020-07-01,3624
2020-07-02,3666
2020-07-03,3731
2020-07-04,3788
2020-07-05,3825
2020-07-06,3858
2020-07-07,3903
2020-07-08,3975
2020-07-09,4074
2020-07-10,4158
2020-07-11,4247
2020-07-12,4338
2020-07-13,4446
2020-07-14,4497
2020-07-15,4569
2020-07-16,4672
2020-07-17,4796
2020-07-18,4911
2020-07-19,5023
2020-07-20,5130
2020-07-21,5211
2020-07-22,5371
2020-07-23,5497
2020-07-24,5618
2020-07-25,5740
2020-07-26,5880
2020-07-27,5990
2020-07-28,6145
2020-07-29,6231
2020-07-30,6305
2020-07-31,6473
2020-08-01,6606
2020-08-02,6664
2020-08-03,6789
2020-08-04,6937
2020-08-05,7061
2020-08-06,7181
2020-08-07,7331
2020-08-08,7512
2020-08-09,7600
2020-08-10,7717
2020-08-11,7889
2020-08-12,7974
2020-08-13,8175
2020-08-14,8326
2020-08-15,8448
2020-08-16,8591
2020-08-17,8651
2020-08-18,8786
2020-08-19,8972
2020-08-20,9246
2020-08-21,9478
2020-08-22,9740
2020-08-23,9880
2020-08-24,10004
2020-08-25,10233
