date,cases
2020-02-17,10
2020-02-18,10
2020-02-19,10
2020-02-20,11
2020-02-21,11
2020-02-22,11
2020-02-23,11
2020-02-24,12
2020-02-25,13
2020-02-26,13
2020-02-27,13
2020-02-28,13
2020-02-29,13
2020-03-01,13
2020-03-02,13
2020-03-03,13
2020-03-04,13
2020-03-05,13
2020-03-06,14
2020-03-07,14
2020-03-08,16
2020-03-09,16
2020-03-10,17
2020-03-11,23
2020-03-12,24
2020-03-13,27
2020-03-14,29
2020-03-15,31
2020-03-16,33
2020-03-17,36
2020-03-18,43
2020-03-19,47
2020-03-20,53
2020-03-21,61
2020-03-22,62
2020-03-23,73
2020-03-24,77
2020-03-25,84
2020-03-26,91
2020-03-27,102
2020-03-28,122
2020-03-29,138
2020-03-30,185
2020-03-31,199
2020-04-01,249
2020-04-02,273
2020-04-03,297
2020-04-04,339
2020-04-05,377
2020-04-06,438
2020-04-07,491
2020-04-08,538
2020-04-09,594
2020-04-10,678
2020-04-11,718
2020-04-12,805
2020-04-13,870
2020-04-14,930
2020-04-15,994
2020-04-16,1094
2020-04-17,1216
2020-04-18,1348
2020-04-19,1473
2020-04-20,1646
2020-04-21,1726
2020-04-22,1826
2020-04-23,2190
2020-04-24,2474
2020-04-25,2898
2020-04-26,3126
2020-04-27,3487
2020-04-28,3613
2020-04-29,3876
2020-04-30,4332
2020-05-01,4838
2020-05-02,5332
2020-05-03,5686
2020-05-04,6123
2020-05-05,6442
2020-05-06,6771
2020-05-07,7190
2020-05-08,7830
2020-05-09,8233
2020-05-10,8328
2020-05-11,8575
2020-05-12,8732
2020-05-13,9072
2020-05-14,9411
2020-05-15,9766
2020-05-16,10220
2020-05-17,10348
2020-05-18,10625
2020-05-19,10846
2020-05-20,11119
2020-05-21,11423
2020-05-22,11661
2020-05-23,11988
2020-05-24,12133
2020-05-25,12354
2020-05-26,12618
2020-05-27,12975
2020-05-28,13260
2020-05-29,13654
2020-05-30,13905
2020-05-31,14101
2020-06-01,14345
2020-06-02,14611
2020-06-03,14866
2020-06-04,15117
2020-06-05,15379
2020-06-06,15543
2020-06-07,15634
2020-06-08,15752
2020-06-09,15888
2020-06-10,16025
2020-06-11,16315
2020-06-12,16513
2020-06-13,16634
2020-06-14,16735
2020-06-15,16860
2020-06-16,17031
2020-06-17,17226
2020-06-18,17415
2020-06-19,17591
2020-06-20,17707
2020-06-21,17810
2020-06-22,17957
2020-06-23,18091
2020-06-24,18220
2020-06-25,18346
2020-06-26,18524
2020-06-27,18775
2020-06-28,18900
2020-06-29,19064
2020-06-30,19194
2020-07-01,19325
2020-07-02,19476
2020-07-03,19660
2020-07-04,19826
2020-07-05,19937
2020-07-06,20052
2020-07-07,20205
2020-07-08,20437
2020-07-09,20658
2020-07-10,20834
2020-07-11,21035
2020-07-12,21214
2020-07-13,21444
2020-07-14,21717
2020-07-15,21979
2020-07-16,22178
2020-07-17,22361
2020-07-18,22545
2020-07-19,22637
2020-07-20,22847
2020-07-21,23190
2020-07-22,23486
2020-07-23,23818
2020-07-24,24174
2020-07-25,24412
2020-07-26,24618
2020-07-27,24899
2020-07-28,25140
2020-07-29,25448
2020-07-30,25766
2020-07-31,26211
2020-08-01,26391
2020-08-02,26702
2020-08-03,26956
2020-08-04,27178
2020-08-05,27489
2020-08-06,27821
2020-08-07,28104
2020-08-08,28245
2020-08-09,28432
2020-08-10,28696
2020-08-11,29030
2020-08-12,29244
2020-08-13,29660
2020-08-14,29988
2020-08-15,30241
2020-08-16,30372
2020-08-17,30563
2020-08-18,30825
2020-08-19,31040
2020-08-20,31348
2020-08-21,31626
2020-08-22,31780
2020-08-23,31889
2020-08-24,32047
2020-08-25,32379
2020-08-26,32727
2020-08-27,33101
2020-08-28,33436
2020-08-29,33753
2020-08-30,34046
2020-08-31,34287
2020-09-01,34574
2020-09-02,34995
2020-09-03,35469
2020-09-04,35661
2020-09-05,35805
2020-09-06,35891
2020-09-07,35975
2020-09-08,36477
2020-09-09,36917
2020-09-10,37373
2020-09-11,37841
2020-09-12,38108
2020-09-13,38188
2020-09-14,38642
2020-09-15,38970
2020-09-16,39419
2020-09-17,39921
2020-09-18,40387
2020-09-19,40797
2020-09-20,41083
2020-09-21,41388
2020-09-22,41828
2020-09-23,42278
2020-09-24,42731
2020-09-25,43162
2020-09-26,43596
2020-09-27,44063
2020-09-28,44578
2020-09-29,45044
2020-09-30,45564
2020-10-01,46185
2020-10-02,46977
2020-10-03,47403
2020-10-04,47807
2020-10-05,48259
2020-10-06,48757
2020-10-07,49396
2020-10-08,50059
2020-10-09,50168
2020-10-10,51887
2020-10-11,52382
2020-10-12,52839
2020-10-13,53543
