date,cases
2020-03-02,1
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,4
2020-03-08,4
2020-03-09,4
2020-03-10,5
2020-03-11,5
2020-03-12,6
2020-03-13,7
2020-03-14,7
2020-03-15,13
2020-03-16,17
2020-03-17,26
2020-03-18,39
2020-03-19,44
2020-03-20,55
2020-03-21,65
2020-03-22,78
2020-03-23,101
2020-03-24,108
2020-03-25,137
2020-03-26,158
2020-03-27,187
2020-03-28,214
2020-03-29,258
2020-03-30,314
2020-03-31,367
2020-04-01,415
2020-04-02,479
2020-04-03,540
2020-04-04,621
2020-04-05,669
2020-04-06,715
2020-04-07,747
2020-04-08,788
2020-04-09,819
2020-04-10,885
2020-04-11,929
2020-04-12,985
2020-04-13,1020
2020-04-14,1091
2020-04-15,1139
2020-04-16,1211
2020-04-17,1287
2020-04-18,1342
2020-04-19,1392
2020-04-20,1447
2020-04-21,1491
2020-04-22,1588
2020-04-23,1670
2020-04-24,1720
2020-04-25,1793
2020-04-26,1864
2020-04-27,1938
2020-04-28,2010
2020-04-29,2054
2020-04-30,2146
2020-05-01,2310
2020-05-02,2429
2020-05-03,2518
2020-05-04,2588
2020-05-05,2636
2020-05-06,2741
2020-05-07,2843
2020-05-08,2947
2020-05-09,3011
2020-05-10,3071
2020-05-11,3160
2020-05-12,3239
2020-05-13,3299
2020-05-14,3382
2020-05-15,3464
2020-05-16,3556
2020-05-17,3596
2020-05-18,3652
2020-05-19,3721
2020-05-20,3868
2020-05-21,3935
2020-05-22,4014
2020-05-23,4089
2020-05-24,4149
2020-05-25,4197
2020-05-26,4231
2020-05-27,4286
2020-05-28,4389
2020-05-29,4492
2020-05-30,4545
2020-05-31,4651
2020-06-01,4685
2020-06-02,4749
2020-06-03,4795
2020-06-04,4876
2020-06-05,4953
2020-06-06,5019
2020-06-07,5043
2020-06-08,5079
2020-06-09,5132
2020-06-10,5178
2020-06-11,5209
2020-06-12,5251
2020-06-13,5299
2020-06-14,5318
2020-06-15,5345
2020-06-16,5364
2020-06-17,5436
2020-06-18,5450
2020-06-19,5486
2020-06-20,5518
2020-06-21,5544
2020-06-22,5558
2020-06-23,5571
2020-06-24,5598
2020-06-25,5638
2020-06-26,5671
2020-06-27,5717
2020-06-28,5747
2020-06-29,5760
2020-06-30,5782
2020-07-01,5802
2020-07-02,5822
2020-07-03,5857
2020-07-04,5871
2020-07-05,5897
2020-07-06,5914
2020-07-07,5932
2020-07-08,5952
2020-07-09,5973
2020-07-10,5991
2020-07-11,6024
2020-07-12,6054
2020-07-13,6068
2020-07-14,6091
2020-07-15,6113
2020-07-16,6139
2020-07-17,6165
2020-07-18,6188
2020-07-19,6203
2020-07-20,6249
2020-07-21,6262
2020-07-22,6295
2020-07-23,6318
2020-07-24,6375
2020-07-25,6415
2020-07-26,6436
2020-07-27,6441
2020-07-28,6500
2020-07-29,6513
2020-07-30,6544
2020-07-31,6583
2020-08-01,6613
2020-08-02,6634
2020-08-03,6660
2020-08-04,6693
2020-08-05,6719
2020-08-06,6742
2020-08-07,6779
2020-08-08,6818
2020-08-09,6831
2020-08-10,6840
2020-08-11,6861
2020-08-12,6887
2020-08-13,6921
2020-08-14,6964
2020-08-15,6980
2020-08-16,6988
2020-08-17,7004
2020-08-18,7017
2020-08-19,7036
2020-08-20,7050
2020-08-21,7071
2020-08-22,7092
2020-08-23,7107
2020-08-24,7134
2020-08-25,7150
2020-08-26,7159
2020-08-27,7194
2020-08-28,7216
2020-08-29,7246
2020-08-30,7254
2020-08-31,7275
2020-09-01,7297
2020-09-02,7309
2020-09-03,7347
2020-09-04,7368
2020-09-05,7424
2020-09-06,7447
2020-09-07,7476
2020-09-08,7494
2020-09-09,7517
2020-09-10,7573
2020-09-11,7620
2020-09-12,7652
2020-09-13,7696
2020-09-14,7714
2020-09-15,7748
2020-09-16,7780
2020-09-17,7814
2020-09-18,7861
2020-09-19,7920
2020-09-20,7947
2020-09-21,7952
2020-09-22,7990
2020-09-23,8007
2020-09-24,8044
2020-09-25,8085
2020-09-26,8121
2020-09-27,8172
2020-09-28,8208
2020-09-29,8233
2020-09-30,8266
2020-10-01,8317
2020-10-02,8534
2020-10-03,8597
2020-10-04,8645
2020-10-05,8680
2020-10-06,8731
2020-10-07,8800
2020-10-08,8878
2020-10-09,8970
2020-10-10,9092
2020-10-11,9143
2020-10-12,9208
2020-10-13,9279
2020-10-14,9349
2020-10-15,9426
2020-10-16,9514
2020-10-17,9625
2020-10-18,9694
2020-10-19,9746
2020-10-20,9828
2020-10-21,9917
2020-10-22,9994
2020-10-23,10112
2020-10-24,10238
2020-10-25,10328
2020-10-26,10397
2020-10-27,10530
2020-10-28,10641
2020-10-29,10768
2020-10-30,10884
2020-10-31,11084
2020-11-01,11214
2020-11-02,11320
2020-11-03,11448
2020-11-04,11563
2020-11-05,11808
2020-11-06,12012
2020-11-07,12241
2020-11-08,12488
2020-11-09,12699
2020-11-10,12919
2020-11-11,13148
2020-11-12,13470
2020-11-13,13929
2020-11-14,14311
2020-11-15,14671
2020-11-16,15029
2020-11-17,15303
2020-11-18,15749
2020-11-19,16277
2020-11-20,16797
2020-11-21,17281
2020-11-22,17598
2020-11-23,18042
2020-11-24,18382
2020-11-25,18776
2020-11-26,18776
2020-11-27,19313
2020-11-28,20002
2020-11-29,20480
2020-11-30,20994
2020-12-01,21766
2020-12-02,22332
2020-12-03,22925
2020-12-04,23690
2020-12-05,24138
2020-12-06,24771
2020-12-07,25816
2020-12-08,26623
2020-12-09,27592
2020-12-10,28273
2020-12-11,29460
2020-12-12,30244
2020-12-13,30956
2020-12-14,31875
2020-12-15,32545
2020-12-16,33433
2020-12-17,34264
2020-12-18,34960
2020-12-19,35609
2020-12-20,36542
2020-12-21,37388
2020-12-22,38008
2020-12-23,38512
2020-12-24,38902
2020-12-25,38902
2020-12-26,39933
2020-12-27,40809
2020-12-28,41670
2020-12-29,42697
2020-12-30,43242
2020-12-31,44028
2021-01-01,44028
2021-01-02,45184
2021-01-03,46450
2021-01-04,47328
2021-01-05,47992
2021-01-06,48838
2021-01-07,49261
2021-01-08,50152
2021-01-09,50871
2021-01-10,51600
2021-01-11,52307
2021-01-12,53148
2021-01-13,54125
2021-01-14,54778
2021-01-15,55500
2021-01-16,55945
2021-01-17,56864
