date,cases
2020-03-04,1
2020-03-05,2
2020-03-06,4
2020-03-07,4
2020-03-08,6
2020-03-09,11
2020-03-10,15
2020-03-11,23
2020-03-12,29
2020-03-13,50
2020-03-14,75
2020-03-15,98
2020-03-16,176
2020-03-17,268
2020-03-18,427
2020-03-19,735
2020-03-20,896
2020-03-21,1336
2020-03-22,1914
2020-03-23,2844
2020-03-24,3675
2020-03-25,4402
2020-03-26,6876
2020-03-27,8825
2020-03-28,11124
2020-03-29,13386
2020-03-30,16636
2020-03-31,18696
2020-04-01,22255
2020-04-02,25590
2020-04-03,29895
2020-04-04,34124
2020-04-05,37505
2020-04-06,41090
2020-04-07,44416
2020-04-08,47437
2020-04-09,51027
2020-04-10,54588
2020-04-11,58151
2020-04-12,61850
2020-04-13,64584
2020-04-14,68824
2020-04-15,71030
2020-04-16,75317
2020-04-17,78467
2020-04-18,81420
2020-04-19,85301
2020-04-20,88806
2020-04-21,92387
2020-04-22,95865
2020-04-23,99989
2020-04-24,102196
2020-04-25,105523
2020-04-26,109038
2020-04-27,111188
2020-04-28,113856
2020-04-29,116264
2020-04-30,118652
2020-05-01,121190
2020-05-02,123717
2020-05-03,126744
2020-05-04,128269
2020-05-05,130593
2020-05-06,131890
2020-05-07,133635
2020-05-08,135454
2020-05-09,137085
2020-05-10,138532
2020-05-11,139945
2020-05-12,140743
2020-05-13,141560
2020-05-14,142704
2020-05-15,143905
2020-05-16,145089
2020-05-17,146334
2020-05-18,148039
2020-05-19,149013
2020-05-20,150399
2020-05-21,151472
2020-05-22,152719
2020-05-23,153104
2020-05-24,154154
2020-05-25,155092
2020-05-26,155764
2020-05-27,156628
2020-05-28,157815
2020-05-29,158844
2020-05-30,159608
2020-05-31,160445
2020-06-01,160918
2020-06-02,161545
2020-06-03,162068
2020-06-04,162530
2020-06-05,163336
2020-06-06,163893
2020-06-07,164164
2020-06-08,164497
2020-06-09,164796
2020-06-10,165346
2020-06-11,165816
2020-06-12,166164
2020-06-13,166605
2020-06-14,166881
2020-06-15,167103
2020-06-16,167426
2020-06-17,167703
2020-06-18,168107
2020-06-19,168496
2020-06-20,168834
2020-06-21,169142
2020-06-22,169415
2020-06-23,169734
2020-06-24,169892
2020-06-25,172050
2020-06-26,172438
2020-06-27,172727
2020-06-28,173036
2020-06-29,173126
2020-06-30,173521
2020-07-01,173782
2020-07-02,174212
2020-07-03,174598
2020-07-04,174889
2020-07-05,175258
2020-07-06,175467
2020-07-07,175734
2020-07-08,175986
2020-07-09,176217
2020-07-10,176575
2020-07-11,176906
2020-07-12,177245
2020-07-13,177469
2020-07-14,177862
2020-07-15,178252
2020-07-16,178475
2020-07-17,178525
2020-07-18,178788
2020-07-19,178757
2020-07-20,178937
2020-07-21,179230
2020-07-22,179565
2020-07-23,179807
2020-07-24,180265
2020-07-25,180778
2020-07-26,181283
2020-07-27,181732
2020-07-28,182215
2020-07-29,182475
2020-07-30,182845
2020-07-31,183535
2020-08-01,183904
2020-08-02,184225
2020-08-03,184489
2020-08-04,184845
2020-08-05,185180
2020-08-06,185554
2020-08-07,185914
2020-08-08,186282
2020-08-09,186626
2020-08-10,186884
2020-08-11,187328
2020-08-12,187777
2020-08-13,188433
2020-08-14,189003
2020-08-15,189281
2020-08-16,189294
2020-08-17,189606
2020-08-18,189937
2020-08-19,190256
2020-08-20,190356
2020-08-21,190646
2020-08-22,191175
2020-08-23,191323
2020-08-24,191548
2020-08-25,191850
2020-08-26,192086
2020-08-27,192393
2020-08-28,192751
2020-08-29,193100
2020-08-30,193391
2020-08-31,193740
2020-09-01,194070
2020-09-02,194378
2020-09-03,194756
2020-09-04,195205
2020-09-05,195530
2020-09-06,195841
2020-09-07,196173
2020-09-08,196450
2020-09-09,196779
2020-09-10,197203
2020-09-11,197677
2020-09-12,198126
2020-09-13,198423
2020-09-14,198757
2020-09-15,199193
2020-09-16,199583
2020-09-17,200152
2020-09-18,200639
2020-09-19,201100
2020-09-20,201553
2020-09-21,201945
2020-09-22,202371
2020-09-23,202779
2020-09-24,203343
2020-09-25,203891
2020-09-26,204641
2020-09-27,205339
2020-09-28,205898
2020-09-29,206354
2020-09-30,207062
2020-10-01,207676
2020-10-02,208416
2020-10-03,209363
2020-10-04,209989
2020-10-05,210500
2020-10-06,211129
2020-10-07,211638
2020-10-08,212936
2020-10-09,213801
2020-10-10,214665
2020-10-11,215416
2020-10-12,215885
2020-10-13,216873
2020-10-14,217812
2020-10-15,218783
2020-10-16,219593
2020-10-17,220527
2020-10-18,221802
2020-10-19,222994
2020-10-20,223982
2020-10-21,225012
2020-10-22,226174
2020-10-23,227219
2020-10-24,229128
2020-10-25,230257
2020-10-26,231473
2020-10-27,233120
2020-10-28,234790
2020-10-29,236340
2020-10-30,238316
2020-10-31,239679
2020-11-01,241422
2020-11-02,242790
2020-11-03,244614
2020-11-04,247057
2020-11-05,249019
2020-11-06,251180
2020-11-07,254382
2020-11-08,256395
2020-11-09,258453
2020-11-10,262230
2020-11-11,265295
2020-11-12,268787
2020-11-13,272184
2020-11-14,276537
2020-11-15,281075
2020-11-16,283294
2020-11-17,287320
2020-11-18,291374
2020-11-19,295556
2020-11-20,299182
2020-11-21,303851
2020-11-22,307819
2020-11-23,311400
2020-11-24,315675
2020-11-25,319734
2020-11-26,324207
2020-11-27,328302
2020-11-28,332104
2020-11-29,335943
2020-11-30,339133
2020-12-01,343739
2020-12-02,348042
2020-12-03,352835
2020-12-04,358498
2020-12-05,363822
2020-12-06,369852
2020-12-07,373415
2020-12-08,378891
2020-12-09,383354
2020-12-10,388474
2020-12-11,392124
2020-12-12,398364
2020-12-13,402518
2020-12-14,407316
2020-12-15,411282
2020-12-16,416983
2020-12-17,421238
2020-12-18,425134
2020-12-19,429325
2020-12-20,434500
2020-12-21,437671
2020-12-22,442274
2020-12-23,447083
2020-12-24,451787
2020-12-25,456847
2020-12-26,460846
2020-12-27,463166
2020-12-28,465910
2020-12-29,469567
2020-12-30,474285
2020-12-31,479381
2021-01-01,484882
2021-01-02,490393
2021-01-03,494063
2021-01-04,545155
2021-01-05,551419
2021-01-06,557271
2021-01-07,564750
2021-01-08,571771
2021-01-09,579182
2021-01-10,584828
2021-01-11,590165
2021-01-12,594751
2021-01-13,602629
2021-01-14,609721
2021-01-15,616086
2021-01-16,622085
2021-01-17,627221
