date,cases
2020-03-11,4
2020-03-12,6
2020-03-13,10
2020-03-14,13
2020-03-15,17
2020-03-16,21
2020-03-17,23
2020-03-18,28
2020-03-19,35
2020-03-20,43
2020-03-21,57
2020-03-22,65
2020-03-23,83
2020-03-24,100
2020-03-25,113
2020-03-26,136
2020-03-27,191
2020-03-28,210
2020-03-29,237
2020-03-30,282
2020-03-31,315
2020-04-01,363
2020-04-02,403
2020-04-03,495
2020-04-04,544
2020-04-05,624
2020-04-06,686
2020-04-07,794
2020-04-08,865
2020-04-09,989
2020-04-10,1090
2020-04-11,1174
2020-04-12,1245
2020-04-13,1345
2020-04-14,1407
2020-04-15,1484
2020-04-16,1597
2020-04-17,1711
2020-04-18,1798
2020-04-19,1845
2020-04-20,1971
2020-04-21,2072
2020-04-22,2210
2020-04-23,2379
2020-04-24,2524
2020-04-25,2662
2020-04-26,2728
2020-04-27,2825
2020-04-28,2975
2020-04-29,3213
2020-04-30,3411
2020-05-01,3513
2020-05-02,3732
2020-05-03,3850
2020-05-04,4030
2020-05-05,4137
2020-05-06,4290
2020-05-07,4492
2020-05-08,4673
2020-05-09,4778
2020-05-10,4863
2020-05-11,5069
2020-05-12,5212
2020-05-13,5364
2020-05-14,5503
2020-05-15,5662
2020-05-16,5847
2020-05-17,5938
2020-05-18,6096
2020-05-19,6192
2020-05-20,6338
2020-05-21,6472
2020-05-22,6625
2020-05-23,6795
2020-05-24,6943
2020-05-25,7026
2020-05-26,7130
2020-05-27,7252
2020-05-28,7364
2020-05-29,7493
2020-05-30,7624
2020-05-31,7689
2020-06-01,7800
2020-06-02,8024
2020-06-03,8140
2020-06-04,8353
2020-06-05,8672
2020-06-06,8800
2020-06-07,8940
2020-06-08,9062
2020-06-09,9105
2020-06-10,9250
2020-06-11,9368
2020-06-12,9526
2020-06-13,9621
2020-06-14,9723
2020-06-15,9845
2020-06-16,9933
2020-06-17,10065
2020-06-18,10153
2020-06-19,10260
2020-06-20,10430
2020-06-21,10565
2020-06-22,10694
2020-06-23,10838
2020-06-24,10990
2020-06-25,11192
2020-06-26,11408
2020-06-27,11619
2020-06-28,11809
2020-06-29,11982
2020-06-30,12147
2020-07-01,12276
