date,cases
2020-03-01,1
2020-03-02,1
2020-03-03,2
2020-03-04,11
2020-03-05,22
2020-03-06,44
2020-03-07,89
2020-03-08,106
2020-03-09,142
2020-03-10,173
2020-03-11,217
2020-03-12,326
2020-03-13,421
2020-03-14,610
2020-03-15,732
2020-03-16,950
2020-03-17,1375
2020-03-18,2387
2020-03-19,4161
2020-03-20,7113
2020-03-21,10371
2020-03-22,15188
2020-03-23,20899
2020-03-24,25704
2020-03-25,33117
2020-03-26,39058
2020-03-27,44746
2020-03-28,53517
2020-03-29,59783
2020-03-30,67504
2020-03-31,76211
2020-04-01,84364
2020-04-02,93360
2020-04-03,103689
2020-04-04,115963
2020-04-05,124085
2020-04-06,133389
2020-04-07,141703
2020-04-08,151271
2020-04-09,162036
2020-04-10,172830
2020-04-11,182990
2020-04-12,191425
2020-04-13,197973
2020-04-14,205375
2020-04-15,217130
2020-04-16,225761
2020-04-17,233293
2020-04-18,240542
2020-04-19,246741
2020-04-20,251608
2020-04-21,255932
2020-04-22,261591
2020-04-23,267932
2020-04-24,276218
2020-04-25,286901
2020-04-26,292914
2020-04-27,296991
2020-04-28,300276
2020-04-29,304994
2020-04-30,309696
2020-05-01,313575
2020-05-02,318134
2020-05-03,321833
2020-05-04,324357
2020-05-05,326659
2020-05-06,329405
2020-05-07,332931
2020-05-08,335804
2020-05-09,338519
2020-05-10,340657
2020-05-11,342267
2020-05-12,343705
2020-05-13,345828
2020-05-14,348192
2020-05-15,350951
2020-05-16,353136
2020-05-17,355037
2020-05-18,356278
2020-05-19,357757
2020-05-20,359235
2020-05-21,361313
2020-05-22,362991
2020-05-23,364745
2020-05-24,366346
2020-05-25,367625
2020-05-26,368669
2020-05-27,369801
2020-05-28,371559
2020-05-29,373108
2020-05-30,374471
2020-05-31,375575
2020-06-01,376520
2020-06-02,377881
2020-06-03,378924
2020-06-04,379977
2020-06-05,381019
2020-06-06,382102
2020-06-07,382879
2020-06-08,383591
2020-06-09,384281
2020-06-10,384945
2020-06-11,385669
2020-06-12,386490
2020-06-13,387402
2020-06-14,388096
2020-06-15,388719
2020-06-16,389349
2020-06-17,389910
2020-06-18,390536
2020-06-19,391330
2020-06-20,392037
2020-06-21,392702
2020-06-22,393257
2020-06-23,393855
2020-06-24,394430
2020-06-25,395168
2020-06-26,395972
2020-06-27,396669
2020-06-28,397293
2020-06-29,397684
2020-06-30,398142
2020-07-01,398770
2020-07-02,399642
2020-07-03,400561
2020-07-04,401286
2020-07-05,401822
2020-07-06,402338
2020-07-07,402928
2020-07-08,403619
2020-07-09,404207
2020-07-10,404997
2020-07-11,405724
2020-07-12,406403
2020-07-13,406962
2020-07-14,407875
2020-07-15,408709
2020-07-16,409476
2020-07-17,410254
2020-07-18,411006
2020-07-19,411515
2020-07-20,412034
2020-07-21,412889
2020-07-22,413595
2020-07-23,414405
2020-07-24,415163
2020-07-25,415911
2020-07-26,416443
2020-07-27,417056
2020-07-28,417591
2020-07-29,418302
2020-07-30,419081
2020-07-31,419723
2020-08-01,420477
2020-08-02,421008
2020-08-03,421550
2020-08-04,422296
2020-08-05,422935
2020-08-06,423629
2020-08-07,424349
2020-08-08,425055
2020-08-09,425568
2020-08-10,426046
2020-08-11,426713
2020-08-12,427419
2020-08-13,428155
2020-08-14,428879
2020-08-15,429617
2020-08-16,430226
