date,cases
2020-03-09,3
2020-03-10,3
2020-03-11,4
2020-03-12,5
2020-03-13,13
2020-03-14,26
2020-03-15,37
2020-03-16,50
2020-03-17,67
2020-03-18,90
2020-03-19,120
2020-03-20,169
2020-03-21,247
2020-03-22,351
2020-03-23,444
2020-03-24,564
2020-03-25,707
2020-03-26,867
2020-03-27,1144
2020-03-28,1406
2020-03-29,1665
2020-03-30,1933
2020-03-31,2199
2020-04-01,2548
2020-04-02,2903
2020-04-03,3312
2020-04-04,3739
2020-04-05,4043
2020-04-06,4450
2020-04-07,4783
2020-04-08,5149
2020-04-09,5513
2020-04-10,5879
2020-04-11,6251
2020-04-12,6605
2020-04-13,6975
2020-04-14,7280
2020-04-15,7791
2020-04-16,8414
2020-04-17,9107
2020-04-18,10222
2020-04-19,11602
2020-04-20,12919
2020-04-21,13725
2020-04-22,14117
2020-04-23,14694
2020-04-24,15169
2020-04-25,15587
2020-04-26,15963
2020-04-27,16325
2020-04-28,16769
2020-04-29,17303
2020-04-30,18027
2020-05-01,18743
2020-05-02,19335
2020-05-03,19914
2020-05-04,20474
2020-05-05,20969
2020-05-06,21576
2020-05-07,22131
2020-05-08,23018
2020-05-09,23697
2020-05-10,24086
2020-05-11,24785
2020-05-12,25257
2020-05-13,25727
2020-05-14,26363
2020-05-15,26956
2020-05-16,27476
2020-05-17,27925
2020-05-18,28455
2020-05-19,28953
2020-05-20,29437
2020-05-21,30168
2020-05-22,30795
2020-05-23,31408
2020-05-24,31911
2020-05-25,32477
2020-05-26,33006
2020-05-27,33439
2020-05-28,33915
2020-05-29,34566
2020-05-30,35034
2020-05-31,35513
2020-06-01,35984
2020-06-02,36350
2020-06-03,36792
2020-06-04,37282
2020-06-05,37758
2020-06-06,38111
2020-06-07,38476
2020-06-08,38837
2020-06-09,39162
2020-06-10,39575
2020-06-11,40004
2020-06-12,40424
2020-06-13,40848
2020-06-14,41148
2020-06-15,41576
2020-06-16,42010
2020-06-17,42422
2020-06-18,43122
2020-06-19,43731
2020-06-20,44262
2020-06-21,44808
2020-06-22,45537
2020-06-23,46127
2020-06-24,46759
2020-06-25,47651
2020-06-26,48638
2020-06-27,49455
2020-06-28,50309
2020-06-29,51046
2020-06-30,51789
2020-07-01,52865
2020-07-02,54166
2020-07-03,55257
2020-07-04,56183
2020-07-05,57151
2020-07-06,57956
2020-07-07,58904
2020-07-08,60181
2020-07-09,61331
2020-07-10,62856
2020-07-11,64214
2020-07-12,65592
2020-07-13,66853
2020-07-14,67995
2020-07-15,69311
2020-07-16,70601
2020-07-17,72280
2020-07-18,73822
2020-07-19,74932
2020-07-20,76168
2020-07-21,77215
2020-07-22,78742
2020-07-23,80186
2020-07-24,81746
2020-07-25,83184
2020-07-26,84073
2020-07-27,85177
2020-07-28,86497
2020-07-29,87893
2020-07-30,89626
2020-07-31,91159
2020-08-01,92087
2020-08-02,93031
2020-08-03,93963
2020-08-04,95106
2020-08-05,96305
2020-08-06,97471
2020-08-07,98675
2020-08-08,99969
2020-08-09,100848
2020-08-10,101731
2020-08-11,102826
2020-08-12,104248
2020-08-13,105426
2020-08-14,106557
2020-08-15,107674
2020-08-16,108287
2020-08-17,109062
2020-08-18,109923
2020-08-19,110881
2020-08-20,112003
2020-08-21,113046
2020-08-22,114165
2020-08-23,114802
2020-08-24,115651
2020-08-25,116495
2020-08-26,117584
2020-08-27,118828
2020-08-28,120124
2020-08-29,121340
2020-08-30,122262
2020-08-31,123157
2020-09-01,124610
2020-09-02,125767
2020-09-03,127112
2020-09-04,128444
2020-09-05,129785
2020-09-06,130558
2020-09-07,131336
2020-09-08,131992
2020-09-09,132965
2020-09-10,134086
2020-09-11,135326
2020-09-12,136568
2020-09-13,137405
2020-09-14,138484
2020-09-15,139485
2020-09-16,140518
2020-09-17,141585
2020-09-18,142596
2020-09-19,143547
2020-09-20,144309
2020-09-21,145165
2020-09-22,145850
2020-09-23,146753
2020-09-24,147744
2020-09-25,148894
2020-09-26,150009
2020-09-27,150809
2020-09-28,151802
2020-09-29,152907
2020-09-30,153987
2020-10-01,155314
2020-10-02,156809
2020-10-03,157966
2020-10-04,158907
2020-10-05,159964
2020-10-06,161299
2020-10-07,162723
2020-10-08,164262
2020-10-09,166102
2020-10-10,167458
2020-10-11,168749
2020-10-12,170179
2020-10-13,171626
2020-10-14,173665
2020-10-15,175843
2020-10-16,177991
2020-10-17,180225
2020-10-18,181787
2020-10-19,183624
2020-10-20,185639
2020-10-21,188005
2020-10-22,190430
2020-10-23,192948
2020-10-24,195806
2020-10-25,198115
2020-10-26,200231
2020-10-27,202740
2020-10-28,205347
2020-10-29,208937
2020-10-30,212782
2020-10-31,215697
2020-11-01,219000
2020-11-02,221909
2020-11-03,226138
2020-11-04,230209
2020-11-05,235170
2020-11-06,240178
2020-11-07,245727
2020-11-08,250268
2020-11-09,254974
2020-11-10,261482
2020-11-11,267356
2020-11-12,274457
2020-11-13,282528
2020-11-14,290243
2020-11-15,298096
2020-11-16,305364
2020-11-17,312443
2020-11-18,318828
2020-11-19,326615
2020-11-20,335423
2020-11-21,343286
2020-11-22,351419
2020-11-23,363304
2020-11-24,371908
2020-11-25,382743
2020-11-26,382743
2020-11-27,399808
2020-11-28,406703
2020-11-29,414432
2020-11-30,421063
2020-12-01,430093
2020-12-02,437928
2020-12-03,446859
2020-12-04,456963
2020-12-05,467432
2020-12-06,475024
2020-12-07,484297
2020-12-08,510018
2020-12-09,520112
2020-12-10,531850
2020-12-11,542209
2020-12-12,553461
2020-12-13,562727
2020-12-14,570602
2020-12-15,579357
2020-12-16,584766
2020-12-17,596178
2020-12-18,605862
2020-12-19,614429
2020-12-20,622806
2020-12-21,629354
2020-12-22,637032
2020-12-23,644822
2020-12-24,653650
2020-12-25,653650
2020-12-26,664668
2020-12-27,670525
2020-12-28,675044
2020-12-29,682570
2020-12-30,690748
2020-12-31,700380
2021-01-01,700380
2021-01-02,714673
2021-01-03,721481
2021-01-04,727423
2021-01-05,735003
2021-01-06,742817
2021-01-07,753068
2021-01-08,762603
2021-01-09,770977
2021-01-10,777065
2021-01-11,784957
2021-01-12,792938
2021-01-13,799639
2021-01-14,807293
2021-01-15,814442
2021-01-16,821507
2021-01-17,826754
