date,cases
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,3
2020-03-14,4
2020-03-15,8
2020-03-16,10
2020-03-17,18
2020-03-18,29
2020-03-19,44
2020-03-20,49
2020-03-21,53
2020-03-22,67
2020-03-23,81
2020-03-24,106
2020-03-25,164
2020-03-26,248
2020-03-27,322
2020-03-28,377
2020-03-29,429
2020-03-30,481
2020-03-31,566
2020-04-01,719
2020-04-02,879
2020-04-03,989
2020-04-04,1159
2020-04-05,1251
2020-04-06,1326
2020-04-07,1470
2020-04-08,1523
2020-04-09,1683
2020-04-10,1794
2020-04-11,1868
2020-04-12,1970
2020-04-13,2069
2020-04-14,2184
2020-04-15,2263
2020-04-16,2357
2020-04-17,2465
2020-04-18,2570
2020-04-19,2599
2020-04-20,2680
2020-04-21,2807
2020-04-22,2894
2020-04-23,3017
2020-04-24,3120
2020-04-25,3193
2020-04-26,3253
2020-04-27,3280
2020-04-28,3410
2020-04-29,3473
2020-04-30,3618
2020-05-01,3748
2020-05-02,3851
2020-05-03,3972
2020-05-04,4044
2020-05-05,4127
2020-05-06,4201
2020-05-07,4330
2020-05-08,4424
2020-05-09,4490
2020-05-10,4589
2020-05-11,4613
2020-05-12,4731
2020-05-13,4852
2020-05-14,4962
2020-05-15,5086
2020-05-16,5237
2020-05-17,5310
2020-05-18,5398
2020-05-19,5489
2020-05-20,5532
2020-05-21,5680
2020-05-22,5849
2020-05-23,5960
2020-05-24,6037
2020-05-25,6090
2020-05-26,6137
2020-05-27,6229
2020-05-28,6270
2020-05-29,6338
2020-05-30,6418
2020-05-31,6506
2020-06-01,6573
2020-06-02,6692
2020-06-03,6805
2020-06-04,6907
2020-06-05,7004
2020-06-06,7060
2020-06-07,7151
2020-06-08,7206
2020-06-09,7364
2020-06-10,7480
2020-06-11,7626
2020-06-12,7848
2020-06-13,8073
2020-06-14,8231
2020-06-15,8417
2020-06-16,8645
2020-06-17,8903
2020-06-18,9354
2020-06-19,9706
2020-06-20,10037
2020-06-21,10515
2020-06-22,10733
2020-06-23,11028
2020-06-24,11509
2020-06-25,11947
2020-06-26,12343
2020-06-27,12642
2020-06-28,12944
2020-06-29,13172
2020-06-30,13757
