date,cases
2020-03-06,2
2020-03-07,4
2020-03-08,6
2020-03-09,10
2020-03-10,12
2020-03-11,16
2020-03-12,22
2020-03-13,41
2020-03-14,47
2020-03-15,68
2020-03-16,81
2020-03-17,101
2020-03-18,139
2020-03-19,187
2020-03-20,269
2020-03-21,388
2020-03-22,504
2020-03-23,644
2020-03-24,851
2020-03-25,1151
2020-03-26,1690
2020-03-27,2217
2020-03-28,2815
2020-03-29,3441
2020-03-30,4156
2020-03-31,4997
2020-04-01,5805
2020-04-02,7021
2020-04-03,8420
2020-04-04,10110
2020-04-05,11590
2020-04-06,13075
2020-04-07,14582
2020-04-08,16414
2020-04-09,18379
2020-04-10,20128
2020-04-11,21774
2020-04-12,22955
2020-04-13,24295
2020-04-14,25591
2020-04-15,26804
2020-04-16,28314
2020-04-17,30121
2020-04-18,31742
2020-04-19,32992
2020-04-20,34005
2020-04-21,35384
2020-04-22,36763
2020-04-23,38334
2020-04-24,40298
2020-04-25,41626
2020-04-26,42709
2020-04-27,43728
2020-04-28,45323
2020-04-29,46191
2020-04-30,48224
2020-05-01,49764
2020-05-02,51071
2020-05-03,52079
2020-05-04,52992
2020-05-05,53967
2020-05-06,54989
2020-05-07,56149
2020-05-08,57501
2020-05-09,58661
2020-05-10,60037
2020-05-11,60557
2020-05-12,61407
2020-05-13,62194
2020-05-14,63158
2020-05-15,64178
2020-05-16,65228
2020-05-17,65745
2020-05-18,66676
2020-05-19,67404
2020-05-20,68151
2020-05-21,69252
2020-05-22,70305
2020-05-23,71102
2020-05-24,71656
2020-05-25,72356
2020-05-26,72873
2020-05-27,73646
2020-05-28,74312
2020-05-29,75073
2020-05-30,75789
2020-05-31,76218
2020-06-01,76734
2020-06-02,77315
2020-06-03,77871
2020-06-04,78428
2020-06-05,78908
2020-06-06,79507
2020-06-07,80001
2020-06-08,80432
2020-06-09,80964
2020-06-10,81410
2020-06-11,81944
2020-06-12,82578
2020-06-13,82988
2020-06-14,83301
2020-06-15,83687
2020-06-16,84077
2020-06-17,84387
2020-06-18,84780
2020-06-19,85288
2020-06-20,85678
2020-06-21,86024
2020-06-22,86666
2020-06-23,87283
2020-06-24,87775
2020-06-25,88230
2020-06-26,88950
2020-06-27,89400
2020-06-28,89785
2020-06-29,90553
2020-06-30,91226
2020-07-01,91864
2020-07-02,92703
2020-07-03,93418
2020-07-04,93922
2020-07-05,94403
2020-07-06,95187
2020-07-07,95986
2020-07-08,96817
2020-07-09,97634
2020-07-10,98574
2020-07-11,99252
2020-07-12,99794
2020-07-13,100378
2020-07-14,101360
2020-07-15,102361
2020-07-16,103169
2020-07-17,104172
2020-07-18,104780
2020-07-19,105384
2020-07-20,106498
2020-07-21,107460
2020-07-22,108267
2020-07-23,109153
2020-07-24,110342
2020-07-25,111121
2020-07-26,111773
2020-07-27,112995
2020-07-28,114129
2020-07-29,114984
2020-07-30,115853
2020-07-31,116787
2020-08-01,117468
2020-08-02,118038
2020-08-03,118937
2020-08-04,119765
2020-08-05,120492
2020-08-06,121294
2020-08-07,122078
2020-08-08,122666
2020-08-09,123312
2020-08-10,124269
2020-08-11,125061
2020-08-12,125965
2020-08-13,126950
2020-08-14,127774
2020-08-15,128531
2020-08-16,129075
2020-08-17,129686
2020-08-18,130286
2020-08-19,130950
2020-08-20,131736
2020-08-21,132461
2020-08-22,133160
2020-08-23,133679
2020-08-24,134246
2020-08-25,134803
2020-08-26,135323
2020-08-27,135958
2020-08-28,136824
2020-08-29,137576
2020-08-30,138137
2020-08-31,138840
2020-09-01,139591
2020-09-02,140577
2020-09-03,141578
2020-09-04,142537
2020-09-05,143301
2020-09-06,143902
2020-09-07,144658
2020-09-08,145191
2020-09-09,146058
2020-09-10,146735
2020-09-11,147744
2020-09-12,148635
2020-09-13,148635
2020-09-14,150044
2020-09-15,151081
2020-09-16,151889
2020-09-17,152813
2020-09-18,153560
2020-09-19,154261
2020-09-20,154924
2020-09-21,155729
2020-09-22,156512
2020-09-23,157373
2020-09-24,158221
2020-09-25,159051
2020-09-26,159937
2020-09-27,160770
2020-09-28,161642
2020-09-29,163219
2020-09-30,164135
2020-10-01,165078
2020-10-02,166270
2020-10-03,166270
2020-10-04,168161
2020-10-05,169126
2020-10-06,170255
2020-10-07,171550
2020-10-08,172971
2020-10-09,174352
2020-10-10,175804
2020-10-11,176820
2020-10-12,177844
2020-10-13,179673
2020-10-14,180956
2020-10-15,182502
2020-10-16,184185
2020-10-17,185670
2020-10-18,186772
2020-10-19,188442
2020-10-20,189988
2020-10-21,191347
2020-10-22,193401
2020-10-23,195659
2020-10-24,197370
2020-10-25,198756
2020-10-26,201248
2020-10-27,203520
2020-10-28,205852
2020-10-29,208087
2020-10-30,210586
2020-10-31,212816
2020-11-01,214500
2020-11-02,217243
2020-11-03,220111
2020-11-04,222883
2020-11-05,225698
2020-11-06,229346
2020-11-07,232582
2020-11-08,235162
2020-11-09,239724
2020-11-10,244046
2020-11-11,248144
2020-11-12,254167
2020-11-13,260001
2020-11-14,264396
2020-11-15,269043
2020-11-16,275257
2020-11-17,280978
2020-11-18,287464
2020-11-19,294345
2020-11-20,301373
2020-11-21,307247
2020-11-22,313788
2020-11-23,320250
2020-11-24,326615
2020-11-25,333571
2020-11-26,340998
2020-11-27,349360
2020-11-28,356243
2020-11-29,361387
2020-11-30,366971
2020-12-01,372688
2020-12-02,381342
2020-12-03,392610
2020-12-04,404699
2020-12-05,416073
2020-12-06,423828
2020-12-07,432410
2020-12-08,442528
2020-12-09,451154
2020-12-10,463175
2020-12-11,475844
2020-12-12,485901
2020-12-13,495906
2020-12-14,505422
2020-12-15,515009
2020-12-16,525199
2020-12-17,535231
2020-12-18,544417
2020-12-19,553424
2020-12-20,560002
2020-12-21,569413
2020-12-22,577183
2020-12-23,586908
2020-12-24,596122
2020-12-25,602605
2020-12-26,609682
2020-12-27,614303
2020-12-28,619425
2020-12-29,628083
2020-12-30,636710
2020-12-31,646060
2021-01-01,652952
2021-01-02,661731
2021-01-03,666207
2021-01-04,670769
2021-01-05,679760
2021-01-06,689162
2021-01-07,699018
2021-01-08,709235
2021-01-09,718642
2021-01-10,725506
2021-01-11,731967
2021-01-12,739212
2021-01-13,747245
2021-01-14,754441
2021-01-15,760552
2021-01-16,767074
2021-01-17,772747
