date,cases
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,5
2020-03-11,5
2020-03-12,5
2020-03-13,20
2020-03-14,20
2020-03-15,20
2020-03-16,21
2020-03-17,23
2020-03-18,33
2020-03-19,44
2020-03-20,44
2020-03-21,66
2020-03-22,83
2020-03-23,106
2020-03-24,124
2020-03-25,132
2020-03-26,165
2020-03-27,203
2020-03-28,239
2020-03-29,294
2020-03-30,408
2020-03-31,488
2020-04-01,566
2020-04-02,657
2020-04-03,711
2020-04-04,806
2020-04-05,922
2020-04-06,1082
2020-04-07,1229
2020-04-08,1450
2020-04-09,1727
2020-04-10,2015
2020-04-11,2349
2020-04-12,2665
2020-04-13,2976
2020-04-14,3251
2020-04-15,3529
2020-04-16,3838
2020-04-17,4177
2020-04-18,4491
2020-04-19,4706
2020-04-20,5090
2020-04-21,5500
2020-04-22,5841
2020-04-23,6256
2020-04-24,6699
2020-04-25,7129
2020-04-26,7439
2020-04-27,7708
2020-04-28,7926
2020-04-29,8247
2020-04-30,8621
2020-05-01,8962
2020-05-02,9289
2020-05-03,9477
2020-05-04,9652
2020-05-05,9933
2020-05-06,10205
2020-05-07,10530
2020-05-08,10779
2020-05-09,10989
2020-05-10,11274
2020-05-11,11450
2020-05-12,11614
2020-05-13,11835
2020-05-14,12016
2020-05-15,12219
2020-05-16,12434
2020-05-17,12674
2020-05-18,12795
2020-05-19,12951
2020-05-20,13356
2020-05-21,13571
2020-05-22,13736
2020-05-23,13952
2020-05-24,14065
2020-05-25,14065
2020-05-26,14210
2020-05-27,14353
2020-05-28,14494
2020-05-29,14635
2020-05-30,14819
2020-05-31,14928
2020-06-01,14991
2020-06-02,15112
2020-06-03,15219
2020-06-04,15325
2020-06-05,15441
2020-06-06,15441
2020-06-07,15441
2020-06-08,15642
2020-06-09,15691
2020-06-10,15756
2020-06-11,15862
2020-06-12,15947
2020-06-13,15947
2020-06-14,15947
2020-06-15,16093
2020-06-16,16164
2020-06-17,16213
2020-06-18,16269
2020-06-19,16337
2020-06-20,16337
2020-06-21,16337
2020-06-22,16459
2020-06-23,16533
2020-06-24,16606
2020-06-25,16640
2020-06-26,16661
2020-06-27,16661
2020-06-28,16661
2020-06-29,16764
2020-06-30,16813
2020-07-01,16853
2020-07-02,16941
2020-07-03,16991
2020-07-04,16991
2020-07-05,16991
2020-07-06,16991
2020-07-07,17154
2020-07-08,17204
2020-07-09,17243
2020-07-10,17312
2020-07-11,17312
2020-07-12,17312
2020-07-13,17487
2020-07-14,17588
2020-07-15,17640
2020-07-16,17711
2020-07-17,17793
2020-07-18,17793
2020-07-19,17793
2020-07-20,17904
2020-07-21,17986
2020-07-22,18062
2020-07-23,18148
2020-07-24,18224
2020-07-25,18224
2020-07-26,18224
2020-07-27,18515
2020-07-28,18725
2020-07-29,18800
2020-07-30,18950
2020-07-31,19022
2020-08-01,19022
2020-08-02,19022
2020-08-03,19246
2020-08-04,19390
2020-08-05,19481
2020-08-06,19611
2020-08-07,19738
2020-08-08,19738
2020-08-09,19738
2020-08-10,19934
2020-08-11,20053
2020-08-12,20129
2020-08-13,20240
2020-08-14,20335
2020-08-15,20335
2020-08-16,20335
2020-08-17,20572
2020-08-18,20692
2020-08-19,20795
2020-08-20,20871
2020-08-21,21022
2020-08-22,21022
2020-08-23,21022
2020-08-24,21302
2020-08-25,21372
2020-08-26,21454
2020-08-27,21589
2020-08-28,21683
2020-08-29,21683
2020-08-30,21683
2020-08-31,21949
2020-09-01,22002
2020-09-02,22078
2020-09-03,22143
2020-09-04,22243
2020-09-05,22243
2020-09-06,22243
2020-09-07,22243
2020-09-08,22592
2020-09-09,22676
2020-09-10,22782
2020-09-11,22905
2020-09-12,22905
2020-09-13,22905
2020-09-14,23130
2020-09-15,23250
2020-09-16,23358
2020-09-17,23488
2020-09-18,23620
2020-09-19,23620
2020-09-20,23620
2020-09-21,23932
2020-09-22,24044
2020-09-23,24177
2020-09-24,24311
2020-09-25,24181
2020-09-26,24181
2020-09-27,24181
2020-09-28,24424
2020-09-29,24556
2020-09-30,24748
2020-10-01,24914
2020-10-02,25076
2020-10-03,25076
2020-10-04,25076
2020-10-05,25419
2020-10-06,25596
2020-10-07,25776
2020-10-08,26045
2020-10-09,26294
2020-10-10,26294
2020-10-11,26294
2020-10-12,26294
2020-10-13,26960
2020-10-14,27164
2020-10-15,27438
2020-10-16,27691
2020-10-17,27691
2020-10-18,27691
2020-10-19,28347
2020-10-20,28649
2020-10-21,29123
2020-10-22,29594
2020-10-23,30118
2020-10-24,30118
2020-10-25,30118
2020-10-26,31024
2020-10-27,31445
2020-10-28,31944
2020-10-29,32312
2020-10-30,32874
2020-10-31,32874
2020-11-01,32874
2020-11-02,34120
2020-11-03,34543
2020-11-04,35122
2020-11-05,35750
2020-11-06,36380
2020-11-07,36380
2020-11-08,36380
2020-11-09,38009
2020-11-10,38798
2020-11-11,39776
2020-11-12,40764
2020-11-13,41529
2020-11-14,41529
2020-11-15,41529
2020-11-16,43923
2020-11-17,44528
2020-11-18,45911
2020-11-19,46951
2020-11-20,48001
2020-11-21,48001
2020-11-22,48001
2020-11-23,50573
2020-11-24,51424
2020-11-25,52317
2020-11-26,52317
2020-11-27,53954
2020-11-28,53954
2020-11-29,53954
2020-11-30,56723
2020-12-01,57906
2020-12-02,59005
2020-12-03,60722
2020-12-04,62137
2020-12-05,62137
2020-12-06,62137
2020-12-07,65818
2020-12-08,67067
2020-12-09,68299
2020-12-10,69247
2020-12-11,70818
2020-12-12,70818
2020-12-13,70818
2020-12-14,74071
2020-12-15,75237
2020-12-16,76209
2020-12-17,77290
2020-12-18,77812
2020-12-19,77812
2020-12-20,77812
2020-12-21,80231
2020-12-22,81187
2020-12-23,82066
2020-12-24,82066
2020-12-25,82066
2020-12-26,82066
2020-12-27,82066
2020-12-28,85602
2020-12-29,86789
2020-12-30,87949
2020-12-31,87949
2021-01-01,87949
2021-01-02,87949
2021-01-03,87949
2021-01-04,92708
2021-01-05,93852
2021-01-06,95463
2021-01-07,96591
2021-01-08,97614
2021-01-09,97614
2021-01-10,97614
2021-01-11,100607
2021-01-12,101393
2021-01-13,102485
2021-01-14,103386
2021-01-15,104443
2021-01-16,104443
2021-01-17,104443
