date,cases
2020-03-06,2
2020-03-07,2
2020-03-08,6
2020-03-09,7
2020-03-10,9
2020-03-11,10
2020-03-12,12
2020-03-13,13
2020-03-14,19
2020-03-15,28
2020-03-16,33
2020-03-17,47
2020-03-18,60
2020-03-19,81
2020-03-20,126
2020-03-21,172
2020-03-22,194
2020-03-23,299
2020-03-24,342
2020-03-25,425
2020-03-26,456
2020-03-27,542
2020-03-28,661
2020-03-29,775
2020-03-30,925
2020-03-31,1083
2020-04-01,1293
2020-04-02,1554
2020-04-03,1700
2020-04-04,1917
2020-04-05,2049
2020-04-06,2232
2020-04-07,2417
2020-04-08,2552
2020-04-09,2792
2020-04-10,3065
2020-04-11,3207
2020-04-12,3319
2020-04-13,3439
2020-04-14,3553
2020-04-15,3656
2020-04-16,3931
2020-04-17,4086
2020-04-18,4246
2020-04-19,4377
2020-04-20,4439
2020-04-21,4608
2020-04-22,4761
2020-04-23,4917
2020-04-24,5070
2020-04-25,5253
2020-04-26,5490
2020-04-27,5613
2020-04-28,5735
2020-04-29,5881
2020-04-30,6095
2020-05-01,6258
2020-05-02,6489
2020-05-03,6626
2020-05-04,6757
2020-05-05,6841
2020-05-06,6936
2020-05-07,7142
2020-05-08,7367
2020-05-09,7531
2020-05-10,7653
2020-05-11,7792
2020-05-12,7927
2020-05-13,8030
2020-05-14,8189
2020-05-15,8407
2020-05-16,8661
2020-05-17,8816
2020-05-18,8942
2020-05-19,9056
2020-05-20,9175
2020-05-21,9379
2020-05-22,9638
2020-05-23,9895
2020-05-24,10096
2020-05-25,10178
2020-05-26,10416
2020-05-27,10623
2020-05-28,10788
2020-05-29,11131
2020-05-30,11394
2020-05-31,11861
2020-06-01,12148
2020-06-02,12415
2020-06-03,12651
2020-06-04,13005
2020-06-05,13453
2020-06-06,13916
2020-06-07,14286
2020-06-08,14800
2020-06-09,15228
2020-06-10,15759
2020-06-11,16441
2020-06-12,17170
2020-06-13,17955
2020-06-14,18796
2020-06-15,19381
2020-06-16,19995
2020-06-17,20556
2020-06-18,21548
2020-06-19,22631
2020-06-20,23786
2020-06-21,24693
2020-06-22,25701
2020-06-23,26613
2020-06-24,27897
2020-06-25,29022
2020-06-26,30335
2020-06-27,31939
2020-06-28,33320
2020-06-29,34644
2020-06-30,36399
2020-07-01,37919
2020-07-02,39701
2020-07-03,41532
2020-07-04,43386
2020-07-05,44847
2020-07-06,46380
2020-07-07,47352
2020-07-08,48909
2020-07-09,50691
2020-07-10,52419
2020-07-11,54699
2020-07-12,56648
2020-07-13,58168
2020-07-14,60389
2020-07-15,62245
2020-07-16,64083
2020-07-17,66060
2020-07-18,67612
2020-07-19,69986
2020-07-20,71445
