date,cases
2020-03-10,5
2020-03-11,8
2020-03-12,8
2020-03-13,9
2020-03-14,9
2020-03-15,9
2020-03-16,10
2020-03-17,11
2020-03-18,11
2020-03-19,14
2020-03-20,14
2020-03-21,14
2020-03-22,21
2020-03-23,28
2020-03-24,30
2020-03-25,41
2020-03-26,46
2020-03-27,58
2020-03-28,68
2020-03-29,90
2020-03-30,100
2020-03-31,107
2020-04-01,129
2020-04-02,165
2020-04-03,187
2020-04-04,212
2020-04-05,240
2020-04-06,288
2020-04-07,320
2020-04-08,393
2020-04-09,447
2020-04-10,536
2020-04-11,626
2020-04-12,729
2020-04-13,867
2020-04-14,987
2020-04-15,1168
2020-04-16,1311
2020-04-17,1411
2020-04-18,1541
2020-04-19,1635
2020-04-20,1685
2020-04-21,1755
2020-04-22,1858
2020-04-23,1956
2020-04-24,2040
2020-04-25,2147
2020-04-26,2213
2020-04-27,2246
2020-04-28,2314
2020-04-29,2375
2020-04-30,2450
2020-05-01,2525
2020-05-02,2587
2020-05-03,2630
2020-05-04,2667
2020-05-05,2720
2020-05-06,2779
2020-05-07,2905
2020-05-08,3144
2020-05-09,3393
2020-05-10,3517
2020-05-11,3614
2020-05-12,3663
2020-05-13,3732
2020-05-14,3792
2020-05-15,3887
2020-05-16,3959
2020-05-17,3987
2020-05-18,4027
2020-05-19,4085
2020-05-20,4177
2020-05-21,4177
2020-05-22,4356
2020-05-23,4468
2020-05-24,4563
2020-05-25,4586
2020-05-26,4653
2020-05-27,4710
2020-05-28,4793
2020-05-29,4866
2020-05-30,4960
2020-05-31,4993
2020-06-01,5034
2020-06-02,5066
2020-06-03,5161
2020-06-04,5247
2020-06-05,5277
2020-06-06,5367
2020-06-07,5438
2020-06-08,5471
2020-06-09,5523
2020-06-10,5604
2020-06-11,5665
2020-06-12,5742
2020-06-13,5833
2020-06-14,5898
2020-06-15,5928
2020-06-16,5966
2020-06-17,6050
2020-06-18,6109
2020-06-19,6158
2020-06-20,6225
2020-06-21,6297
2020-06-22,6326
2020-06-23,6353
2020-06-24,6419
2020-06-25,6479
2020-06-26,6535
2020-06-27,6626
2020-06-28,6681
2020-06-29,6716
2020-06-30,6764
2020-07-01,6826
2020-07-02,6893
2020-07-03,6978
2020-07-04,7028
2020-07-05,7063
2020-07-06,7105
2020-07-07,7163
2020-07-08,7242
2020-07-09,7336
2020-07-10,7401
2020-07-11,7454
2020-07-12,7499
2020-07-13,7524
2020-07-14,7572
2020-07-15,7652
2020-07-16,7694
2020-07-17,7789
2020-07-18,7862
2020-07-19,7906
2020-07-20,7943
2020-07-21,8019
2020-07-22,8077
2020-07-23,8143
2020-07-24,8200
2020-07-25,8305
2020-07-26,8395
2020-07-27,8444
2020-07-28,8492
2020-07-29,8641
2020-07-30,8685
2020-07-31,8764
2020-08-01,8867
2020-08-02,8955
2020-08-03,9020
2020-08-04,9079
2020-08-05,9168
2020-08-06,9273
2020-08-07,9371
2020-08-08,9477
2020-08-09,9605
2020-08-10,9663
2020-08-11,9713
2020-08-12,9815
2020-08-13,9897
2020-08-14,10024
2020-08-15,10118
2020-08-16,10274
2020-08-17,10360
2020-08-18,10443
2020-08-19,10566
2020-08-20,10691
2020-08-21,10884
2020-08-22,11135
2020-08-23,11276
2020-08-24,11425
2020-08-25,11559
2020-08-26,11851
2020-08-27,12194
2020-08-28,12517
2020-08-29,12942
2020-08-30,13322
2020-08-31,13509
2020-09-01,13749
2020-09-02,14003
2020-09-03,14337
2020-09-04,14596
2020-09-05,14889
2020-09-06,15109
2020-09-07,15300
2020-09-08,15403
2020-09-09,15571
2020-09-10,15834
2020-09-11,16117
2020-09-12,16437
2020-09-13,16638
2020-09-14,16801
2020-09-15,16994
2020-09-16,17291
2020-09-17,17686
2020-09-18,18075
2020-09-19,18444
2020-09-20,18696
2020-09-21,18869
2020-09-22,19189
2020-09-23,19634
2020-09-24,20097
2020-09-25,20554
2020-09-26,21133
2020-09-27,21541
2020-09-28,21738
2020-09-29,21997
2020-09-30,22389
2020-10-01,23136
2020-10-02,23522
2020-10-03,23986
2020-10-04,24418
2020-10-05,24598
2020-10-06,24876
2020-10-07,25906
2020-10-08,26441
2020-10-09,27215
2020-10-10,27947
2020-10-11,28564
2020-10-12,28925
2020-10-13,29339
2020-10-14,30215
2020-10-15,31012
2020-10-16,31805
2020-10-17,32611
2020-10-18,33269
2020-10-19,33836
2020-10-20,34457
2020-10-21,35044
2020-10-22,36017
2020-10-23,37202
2020-10-24,38141
2020-10-25,39203
2020-10-26,39741
2020-10-27,40730
2020-10-28,42000
2020-10-29,43000
