date,cases
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,3
2020-03-09,4
2020-03-10,7
2020-03-11,8
2020-03-12,18
2020-03-13,26
2020-03-14,32
2020-03-15,39
2020-03-16,52
2020-03-17,73
2020-03-18,98
2020-03-19,155
2020-03-20,237
2020-03-21,312
2020-03-22,424
2020-03-23,522
2020-03-24,678
2020-03-25,806
2020-03-26,981
2020-03-27,1180
2020-03-28,1363
2020-03-29,1569
2020-03-30,1721
2020-03-31,2049
2020-04-01,2689
2020-04-02,2868
2020-04-03,3032
2020-04-04,3265
2020-04-05,3538
2020-04-06,3753
2020-04-07,4010
2020-04-08,4246
2020-04-09,4456
2020-04-10,4793
2020-04-11,4983
2020-04-12,5144
2020-04-13,5483
2020-04-14,5654
2020-04-15,5864
2020-04-16,6077
2020-04-17,6423
2020-04-18,6624
2020-04-19,6824
2020-04-20,6994
2020-04-21,7317
2020-04-22,7681
2020-04-23,8169
2020-04-24,8618
2020-04-25,8918
2020-04-26,9435
2020-04-27,9739
2020-04-28,9974
2020-04-29,10255
2020-04-30,10506
2020-05-01,11781
2020-05-02,12376
2020-05-03,12871
2020-05-04,13283
2020-05-05,13555
2020-05-06,13737
2020-05-07,14108
2020-05-08,14276
2020-05-09,14675
2020-05-10,15060
2020-05-11,15423
2020-05-12,15777
2020-05-13,16261
2020-05-14,16588
2020-05-15,16917
2020-05-16,17204
2020-05-17,17391
2020-05-18,17767
2020-05-19,18301
2020-05-20,18534
2020-05-21,18970
2020-05-22,19364
2020-05-23,19765
2020-05-24,20116
2020-05-25,20533
2020-05-26,20960
2020-05-27,21360
2020-05-28,21763
2020-05-29,22199
2020-05-30,22676
2020-05-31,22832
2020-06-01,23242
2020-06-02,24498
2020-06-03,25024
2020-06-04,25374
2020-06-05,25799
2020-06-06,26359
2020-06-07,26811
2020-06-08,27217
2020-06-09,27865
2020-06-10,28379
2020-06-11,28766
2020-06-12,29218
2020-06-13,29616
2020-06-14,30174
2020-06-15,30945
2020-06-16,31623
2020-06-17,32112
2020-06-18,32604
2020-06-19,33603
2020-06-20,34223
2020-06-21,34719
2020-06-22,35255
2020-06-23,36018
2020-06-24,36822
2020-06-25,37695
2020-06-26,38802
2020-06-27,39813
2020-06-28,39945
2020-06-29,41388
2020-06-30,42815
2020-07-01,44360
2020-07-02,46176
2020-07-03,47882
2020-07-04,49232
2020-07-05,50365
2020-07-06,51509
2020-07-07,52643
2020-07-08,54756
2020-07-09,56531
2020-07-10,58224
2020-07-11,59981
2020-07-12,61106
2020-07-13,63615
2020-07-14,65412
2020-07-15,67515
2020-07-16,69827
2020-07-17,72072
2020-07-18,74518
2020-07-19,76180
