date,cases
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,4
2020-03-11,5
2020-03-12,7
2020-03-13,7
2020-03-14,21
2020-03-15,29
2020-03-16,40
2020-03-17,51
2020-03-18,65
2020-03-19,80
2020-03-20,112
2020-03-21,138
2020-03-22,182
2020-03-23,257
2020-03-24,299
2020-03-25,346
2020-03-26,402
2020-03-27,480
2020-03-28,608
2020-03-29,719
2020-03-30,806
2020-03-31,887
2020-04-01,1012
2020-04-02,1077
2020-04-03,1248
2020-04-04,1426
2020-04-05,1618
2020-04-06,1662
2020-04-07,1737
2020-04-08,1860
2020-04-09,1980
2020-04-10,2103
2020-04-11,2208
2020-04-12,2305
2020-04-13,2368
2020-04-14,2420
2020-04-15,2549
2020-04-16,2687
2020-04-17,2813
2020-04-18,2942
2020-04-19,3071
2020-04-20,3213
2020-04-21,3301
2020-04-22,3451
2020-04-23,3621
2020-04-24,3782
2020-04-25,3950
2020-04-26,4123
2020-04-27,4236
2020-04-28,4343
2020-04-29,4499
2020-04-30,4672
2020-05-01,4829
2020-05-02,4981
2020-05-03,5175
2020-05-04,5326
2020-05-05,5449
2020-05-06,5605
2020-05-07,5724
2020-05-08,5919
2020-05-09,6103
2020-05-10,6251
2020-05-11,6364
2020-05-12,6454
2020-05-13,6624
2020-05-14,6760
2020-05-15,6930
2020-05-16,7068
2020-05-17,7238
2020-05-18,7384
2020-05-19,7530
2020-05-20,7717
2020-05-21,7876
2020-05-22,8057
2020-05-23,8260
2020-05-24,8392
2020-05-25,8521
2020-05-26,8622
2020-05-27,8710
2020-05-28,8953
2020-05-29,9282
2020-05-30,9551
2020-05-31,9829
2020-06-01,10026
2020-06-02,10237
2020-06-03,10558
2020-06-04,10858
2020-06-05,11344
2020-06-06,11866
2020-06-07,12084
2020-06-08,12378
2020-06-09,12639
2020-06-10,12982
2020-06-11,13366
2020-06-12,13681
2020-06-13,14061
2020-06-14,14313
2020-06-15,14757
2020-06-16,15077
2020-06-17,15464
2020-06-18,16015
2020-06-19,16585
2020-06-20,17173
2020-06-21,17567
2020-06-22,18035
2020-06-23,18454
2020-06-24,18915
2020-06-25,19544
2020-06-26,20218
2020-06-27,20735
2020-06-28,21155
2020-06-29,21818
2020-06-30,22364
2020-07-01,22864
2020-07-02,23466
2020-07-03,24070
2020-07-04,24717
2020-07-05,25005
2020-07-06,25653
2020-07-07,26203
2020-07-08,26921
2020-07-09,27632
2020-07-10,28452
2020-07-11,29071
2020-07-12,29552
2020-07-13,30282
2020-07-14,30774
2020-07-15,31228
2020-07-16,31908
