date,cases
2020-03-07,1
2020-03-08,2
2020-03-09,5
2020-03-10,8
2020-03-11,10
2020-03-12,17
2020-03-13,30
2020-03-14,42
2020-03-15,45
2020-03-16,51
2020-03-17,67
2020-03-18,78
2020-03-19,94
2020-03-20,115
2020-03-21,152
2020-03-22,219
2020-03-23,254
2020-03-24,291
2020-03-25,390
2020-03-26,603
2020-03-27,605
2020-03-28,739
2020-03-29,889
2020-03-30,1020
2020-03-31,1249
2020-04-01,1511
2020-04-02,1706
2020-04-03,2011
2020-04-04,2408
2020-04-05,2636
2020-04-06,2877
2020-04-07,3332
2020-04-08,3644
2020-04-09,4041
2020-04-10,4509
2020-04-11,5076
2020-04-12,5273
2020-04-13,5746
2020-04-14,6173
2020-04-15,6502
2020-04-16,6891
2020-04-17,7492
2020-04-18,8053
2020-04-19,8536
2020-04-20,8989
2020-04-21,9629
2020-04-22,10265
2020-04-23,10999
2020-04-24,11595
2020-04-25,12365
2020-04-26,12969
2020-04-27,13534
2020-04-28,14338
2020-04-29,14961
2020-04-30,15846
2020-05-01,16901
2020-05-02,17731
2020-05-03,18671
2020-05-04,19492
2020-05-05,20256
2020-05-06,20256
2020-05-07,21570
2020-05-08,22342
2020-05-09,23196
2020-05-10,24081
2020-05-11,25070
2020-05-12,25800
2020-05-13,26746
2020-05-14,27813
2020-05-15,28672
2020-05-16,29683
2020-05-17,30388
2020-05-18,31140
2020-05-19,32145
2020-05-20,32908
2020-05-21,34137
2020-05-22,34950
2020-05-23,35749
2020-05-24,36244
2020-05-25,37727
2020-05-26,39342
2020-05-27,40249
2020-05-28,41401
2020-05-29,42533
2020-05-30,43611
2020-05-31,44607
2020-06-01,45398
2020-06-02,46239
2020-06-03,46905
2020-06-04,47856
2020-06-05,48532
2020-06-06,49397
2020-06-07,50681
2020-06-08,51251
2020-06-09,51738
2020-06-10,52177
2020-06-11,52647
2020-06-12,53211
2020-06-13,53869
2020-06-14,54506
2020-06-15,54886
2020-06-16,55331
2020-06-17,55775
2020-06-18,56238
2020-06-19,56793
2020-06-20,57443
2020-06-21,57994
2020-06-22,58465
2020-06-23,58994
2020-06-24,59514
2020-06-25,59946
2020-06-26,60570
2020-06-27,61247
2020-06-28,61736
2020-06-29,62189
2020-06-30,62787
2020-07-01,63203
2020-07-02,63735
2020-07-03,64393
2020-07-04,65109
2020-07-05,65748
2020-07-06,66102
2020-07-07,66740
2020-07-08,67375
2020-07-09,67988
2020-07-10,68931
2020-07-11,69782
2020-07-12,70670
2020-07-13,71642
2020-07-14,72443
2020-07-15,73527
2020-07-16,74431
2020-07-17,75433
2020-07-18,76373
2020-07-19,77430
2020-07-20,78375
2020-07-21,79371
2020-07-22,80393
2020-07-23,81237
2020-07-24,82364
2020-07-25,83609
2020-07-26,84567
2020-07-27,86072
2020-07-28,86994
2020-07-29,87993
2020-07-30,88904
2020-07-31,89888
2020-08-01,90801
2020-08-02,91782
2020-08-03,93106
2020-08-04,94251
2020-08-05,95049
2020-08-06,95867
2020-08-07,97882
2020-08-08,99189
2020-08-09,100086
2020-08-10,100749
2020-08-11,101745
2020-08-12,102521
2020-08-13,103622
2020-08-14,104838
2020-08-15,105750
2020-08-16,106687
2020-08-17,107421
2020-08-18,108282
2020-08-19,109019
2020-08-20,109882
2020-08-21,110860
2020-08-22,112072
2020-08-23,112966
2020-08-24,113630
2020-08-25,114635
2020-08-26,115458
2020-08-27,116579
2020-08-28,117592
2020-08-29,118809
2020-08-30,119747
2020-08-31,120594
2020-09-01,121615
2020-09-02,122542
2020-09-03,123668
2020-09-04,124779
2020-09-05,125727
2020-09-06,126926
2020-09-07,127571
2020-09-08,128407
2020-09-09,129289
2020-09-10,130525
2020-09-11,131640
2020-09-12,132940
2020-09-13,133814
2020-09-14,134571
2020-09-15,135514
2020-09-16,136359
2020-09-17,137460
2020-09-18,138702
2020-09-19,139655
2020-09-20,140511
2020-09-21,141138
2020-09-22,142010
2020-09-23,142590
2020-09-24,143492
2020-09-25,144433
2020-09-26,145408
2020-09-27,146144
2020-09-28,146593
2020-09-29,147516
2020-09-30,148271
2020-10-01,148721
2020-10-02,149687
2020-10-03,150803
2020-10-04,151870
2020-10-05,152557
2020-10-06,153182
2020-10-07,153691
2020-10-08,155535
2020-10-09,156649
2020-10-10,157905
2020-10-11,158716
2020-10-12,159570
2020-10-13,160805
2020-10-14,161610
2020-10-15,162941
2020-10-16,164124
2020-10-17,165238
2020-10-18,166138
2020-10-19,166828
2020-10-20,167754
2020-10-21,168772
2020-10-22,170104
2020-10-23,171284
2020-10-24,172372
2020-10-25,173371
2020-10-26,174275
2020-10-27,175409
2020-10-28,176754
2020-10-29,178183
2020-10-30,179639
2020-10-31,181190
2020-11-01,182392
2020-11-02,183418
2020-11-03,184679
2020-11-04,185836
2020-11-05,187202
2020-11-06,188770
2020-11-07,190873
2020-11-08,192175
2020-11-09,193477
2020-11-10,194912
2020-11-11,196506
2020-11-12,198027
2020-11-13,199262
2020-11-14,200799
2020-11-15,201960
2020-11-16,204637
2020-11-17,206762
2020-11-18,208833
2020-11-19,210787
2020-11-20,213331
2020-11-21,215679
2020-11-22,217796
2020-11-23,221038
2020-11-24,223582
2020-11-25,226300
2020-11-26,228900
2020-11-27,230444
2020-11-28,233617
2020-11-29,235942
2020-11-30,237835
2020-12-01,240063
2020-12-02,242480
2020-12-03,244503
2020-12-04,247380
2020-12-05,251173
2020-12-06,255053
2020-12-07,258870
2020-12-08,262730
2020-12-09,267128
2020-12-10,271043
2020-12-11,274438
2020-12-12,278615
2020-12-13,281909
2020-12-14,285149
2020-12-15,288309
2020-12-16,292240
2020-12-17,296093
2020-12-18,299388
2020-12-19,302972
2020-12-20,306848
2020-12-21,310890
2020-12-22,314481
2020-12-23,319133
2020-12-24,323915
2020-12-25,327993
2020-12-26,329577
2020-12-27,333576
2020-12-28,336175
2020-12-29,340297
2020-12-30,344345
2020-12-31,349584
2021-01-01,354766
2021-01-02,358755
2021-01-03,363765
2021-01-04,367536
2021-01-05,371913
2021-01-06,377300
2021-01-07,382679
2021-01-08,387917
