date,cases
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,5
2020-03-15,8
2020-03-16,12
2020-03-17,14
2020-03-18,19
2020-03-19,22
2020-03-20,29
2020-03-21,49
2020-03-22,52
2020-03-23,75
2020-03-24,95
2020-03-25,123
2020-03-26,158
2020-03-27,184
2020-03-28,211
2020-03-29,235
2020-03-30,256
2020-03-31,293
2020-04-01,321
2020-04-02,338
2020-04-03,389
2020-04-04,461
2020-04-05,512
2020-04-06,543
2020-04-07,575
2020-04-08,605
2020-04-09,628
2020-04-10,679
2020-04-11,711
2020-04-12,727
2020-04-13,748
2020-04-14,752
2020-04-15,759
2020-04-16,768
2020-04-17,779
2020-04-18,803
2020-04-19,812
2020-04-20,816
2020-04-21,818
2020-04-22,823
2020-04-23,825
2020-04-24,827
2020-04-25,843
2020-04-26,851
2020-04-27,855
2020-04-28,862
2020-04-29,862
2020-04-30,866
2020-05-01,879
2020-05-02,886
2020-05-03,897
2020-05-04,902
2020-05-05,907
2020-05-06,908
2020-05-07,916
2020-05-08,919
2020-05-09,921
2020-05-10,926
2020-05-11,926
2020-05-12,927
2020-05-13,929
2020-05-14,932
2020-05-15,933
2020-05-16,934
2020-05-17,940
2020-05-18,940
2020-05-19,944
2020-05-20,944
2020-05-21,950
2020-05-22,952
2020-05-23,954
2020-05-24,956
2020-05-25,962
2020-05-26,967
2020-05-27,971
2020-05-28,974
2020-05-29,975
2020-05-30,977
2020-05-31,981
2020-06-01,983
2020-06-02,988
2020-06-03,990
2020-06-04,1026
2020-06-05,1027
2020-06-06,1046
2020-06-07,1063
2020-06-08,1075
2020-06-09,1084
2020-06-10,1095
2020-06-11,1110
2020-06-12,1119
2020-06-13,1125
2020-06-14,1127
2020-06-15,1130
2020-06-16,1130
2020-06-17,1130
2020-06-18,1135
2020-06-19,1144
2020-06-20,1147
2020-06-21,1159
2020-06-22,1163
2020-06-23,1164
2020-06-24,1184
2020-06-25,1191
2020-06-26,1198
2020-06-27,1200
2020-06-28,1202
