date,cases
2020-01-21,1
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,1
2020-01-29,1
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,5
2020-02-25,5
2020-02-26,5
2020-02-27,5
2020-02-28,7
2020-02-29,10
2020-03-01,17
2020-03-02,23
2020-03-03,32
2020-03-04,47
2020-03-05,75
2020-03-06,86
2020-03-07,110
2020-03-08,141
2020-03-09,179
2020-03-10,279
2020-03-11,338
2020-03-12,419
2020-03-13,511
2020-03-14,609
2020-03-15,675
2020-03-16,794
2020-03-17,908
2020-03-18,1026
2020-03-19,1228
2020-03-20,1404
2020-03-21,1655
2020-03-22,1844
2020-03-23,2101
2020-03-24,2469
2020-03-25,2585
2020-03-26,3208
2020-03-27,3770
2020-03-28,4311
2020-03-29,4897
2020-03-30,5180
2020-03-31,5293
2020-04-01,5589
2020-04-02,6586
2020-04-03,6967
2020-04-04,7499
2020-04-05,7985
2020-04-06,8385
2020-04-07,8683
2020-04-08,9098
2020-04-09,9609
2020-04-10,9888
2020-04-11,10227
2020-04-12,10414
2020-04-13,10547
2020-04-14,10711
2020-04-15,10806
2020-04-16,11180
2020-04-17,11479
2020-04-18,11850
2020-04-19,11864
2020-04-20,12255
2020-04-21,12410
2020-04-22,12606
2020-04-23,12981
2020-04-24,13197
2020-04-25,13565
2020-04-26,13744
2020-04-27,13958
2020-04-28,14165
2020-04-29,14490
2020-04-30,14814
2020-05-01,15134
2020-05-02,15383
2020-05-03,15943
2020-05-04,16047
2020-05-05,16234
2020-05-06,16873
2020-05-07,17187
2020-05-08,17477
2020-05-09,17629
2020-05-10,17781
2020-05-11,18172
2020-05-12,18382
2020-05-13,18492
2020-05-14,18861
2020-05-15,19131
2020-05-16,19336
2020-05-17,19514
2020-05-18,19756
2020-05-19,19988
2020-05-20,20110
2020-05-21,20280
2020-05-22,20526
2020-05-23,20740
2020-05-24,20989
2020-05-25,21265
2020-05-26,21538
2020-05-27,21825
2020-05-28,22091
2020-05-29,22377
2020-05-30,22618
2020-05-31,22814
2020-06-01,23272
2020-06-02,23608
2020-06-03,23776
2020-06-04,23999
2020-06-05,24546
2020-06-06,24767
2020-06-07,25064
2020-06-08,25593
2020-06-09,25796
2020-06-10,25940
2020-06-11,26172
2020-06-12,26576
2020-06-13,26920
2020-06-14,27135
2020-06-15,27577
2020-06-16,27949
2020-06-17,28270
2020-06-18,28663
2020-06-19,29045
2020-06-20,29466
2020-06-21,29797
2020-06-22,30443
2020-06-23,30778
2020-06-24,31400
2020-06-25,31998
2020-06-26,32489
2020-06-27,33031
2020-06-28,33341
2020-06-29,34036
2020-06-30,34541
2020-07-01,35258
2020-07-02,35921
2020-07-03,36417
2020-07-04,36799
2020-07-05,37468
2020-07-06,38517
2020-07-07,39063
2020-07-08,39661
2020-07-09,40369
2020-07-10,41090
2020-07-11,41326
2020-07-12,42181
2020-07-13,43538
2020-07-14,44257
2020-07-15,45004
2020-07-16,46268
2020-07-17,47226
2020-07-18,47889
2020-07-19,48601
2020-07-20,49949
2020-07-21,50746
2020-07-22,51442
2020-07-23,52255
2020-07-24,53278
2020-07-25,53883
2020-07-26,54421
2020-07-27,55547
2020-07-28,56575
2020-07-29,57299
2020-07-30,58099
2020-07-31,58725
2020-08-01,59648
2020-08-02,60160
2020-08-03,61011
2020-08-04,61828
2020-08-05,62389
2020-08-06,63056
2020-08-07,63975
2020-08-08,64346
2020-08-09,65248
2020-08-10,66225
2020-08-11,66619
2020-08-12,67170
2020-08-13,68095
2020-08-14,68581
2020-08-15,69136
2020-08-16,69894
2020-08-17,70509
2020-08-18,71032
2020-08-19,71594
2020-08-20,72284
2020-08-21,72787
2020-08-22,73353
2020-08-23,73745
2020-08-24,74292
2020-08-25,74634
2020-08-26,75207
2020-08-27,75752
2020-08-28,76397
2020-08-29,76834
