date,cases
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,3
2020-03-11,6
2020-03-12,8
2020-03-13,19
2020-03-14,27
2020-03-15,33
2020-03-16,47
2020-03-17,72
2020-03-18,106
2020-03-19,155
2020-03-20,216
2020-03-21,281
2020-03-22,382
2020-03-23,418
2020-03-24,481
2020-03-25,623
2020-03-26,754
2020-03-27,930
2020-03-28,1042
2020-03-29,1120
2020-03-30,1269
2020-03-31,1351
2020-04-01,1552
2020-04-02,1730
2020-04-03,1916
2020-04-04,2112
2020-04-05,2267
2020-04-06,2440
2020-04-07,2578
2020-04-08,2756
2020-04-09,2885
2020-04-10,3068
2020-04-11,3213
2020-04-12,3341
2020-04-13,3428
2020-04-14,3555
2020-04-15,3721
2020-04-16,3875
2020-04-17,4045
2020-04-18,4199
2020-04-19,4346
2020-04-20,4564
2020-04-21,4691
2020-04-22,4915
2020-04-23,5125
2020-04-24,5431
2020-04-25,5762
2020-04-26,5986
2020-04-27,6164
2020-04-28,6389
2020-04-29,6621
2020-04-30,6973
2020-05-01,7439
2020-05-02,7785
2020-05-03,8089
2020-05-04,8362
2020-05-05,8696
2020-05-06,9052
2020-05-07,9369
2020-05-08,9750
2020-05-09,10099
2020-05-10,10379
2020-05-11,10581
2020-05-12,10781
2020-05-13,11071
2020-05-14,11449
2020-05-15,12037
2020-05-16,12551
2020-05-17,12754
2020-05-18,12912
2020-05-19,13200
2020-05-20,13779
2020-05-21,14172
2020-05-22,14768
2020-05-23,15196
2020-05-24,15573
2020-05-25,15857
2020-05-26,16141
2020-05-27,16786
2020-05-28,17476
2020-05-29,18050
2020-05-30,18515
2020-05-31,18684
2020-06-01,18825
2020-06-02,19223
2020-06-03,19896
2020-06-04,20359
2020-06-05,20723
2020-06-06,20997
2020-06-07,21246
2020-06-08,21463
2020-06-09,21738
2020-06-10,24091
2020-06-11,24411
2020-06-12,24733
2020-06-13,25026
2020-06-14,25307
2020-06-15,25530
2020-06-16,25829
2020-06-17,26167
2020-06-18,26611
2020-06-19,26913
2020-06-20,27314
2020-06-21,27598
2020-06-22,27849
2020-06-23,28187
2020-06-24,28652
2020-06-25,29204
2020-06-26,29718
2020-06-27,30235
2020-06-28,30716
2020-06-29,31103
2020-06-30,31723
2020-07-01,32307
2020-07-02,32876
2020-07-03,33565
2020-07-04,34243
2020-07-05,34750
2020-07-06,35318
2020-07-07,35834
2020-07-08,36526
2020-07-09,37358
2020-07-10,38414
2020-07-11,39095
2020-07-12,39901
2020-07-13,40603
2020-07-14,41516
2020-07-15,42409
2020-07-16,43361
2020-07-17,44243
2020-07-18,45118
2020-07-19,45953
2020-07-20,46754
2020-07-21,47893
2020-07-22,48777
2020-07-23,49751
2020-07-24,50895
2020-07-25,51735
2020-07-26,52685
2020-07-27,53323
2020-07-28,54114
2020-07-29,55119
2020-07-30,56111
2020-07-31,57020
2020-08-01,58064
2020-08-02,58990
2020-08-03,59471
2020-08-04,60263
2020-08-05,61247
2020-08-06,62139
2020-08-07,63256
2020-08-08,64231
2020-08-09,64835
2020-08-10,65427
2020-08-11,66146
2020-08-12,66705
2020-08-13,67781
2020-08-14,68761
2020-08-15,69560
2020-08-16,70246
2020-08-17,70796
2020-08-18,71517
2020-08-19,72204
2020-08-20,73067
2020-08-21,73895
2020-08-22,74740
2020-08-23,75205
2020-08-24,75755
2020-08-25,76453
2020-08-26,77220
2020-08-27,78136
2020-08-28,78984
2020-08-29,79767
2020-08-30,80311
2020-08-31,80733
2020-09-01,81688
2020-09-02,82261
2020-09-03,83119
2020-09-04,84519
2020-09-05,85517
2020-09-06,86406
2020-09-07,86981
2020-09-08,87730
2020-09-09,88643
2020-09-10,90232
2020-09-11,91672
2020-09-12,93102
2020-09-13,94723
2020-09-14,95564
2020-09-15,97002
2020-09-16,98501
2020-09-17,100619
2020-09-18,103211
2020-09-19,105609
2020-09-20,107343
2020-09-21,108656
2020-09-22,110393
2020-09-23,112276
2020-09-24,114743
2020-09-25,117355
2020-09-26,120249
2020-09-27,122498
2020-09-28,124320
2020-09-29,126744
2020-09-30,129172
2020-10-01,132176
2020-10-02,134996
2020-10-03,138018
2020-10-04,139941
2020-10-05,141780
2020-10-06,143886
2020-10-07,146376
2020-10-08,149613
2020-10-09,152831
2020-10-10,155752
2020-10-11,158426
2020-10-12,160655
2020-10-13,164137
2020-10-14,167441
2020-10-15,171480
2020-10-16,175652
2020-10-17,175652
2020-10-18,175652
2020-10-19,183177
2020-10-20,187898
2020-10-21,192225
2020-10-22,195853
2020-10-23,200479
2020-10-24,205139
2020-10-25,208917
2020-10-26,212116
2020-10-27,217447
2020-10-28,221578
2020-10-29,226712
2020-10-30,232092
2020-10-31,237870
2020-11-01,241423
2020-11-02,244974
2020-11-03,251227
2020-11-04,257365
2020-11-05,263640
2020-11-06,270074
2020-11-07,277568
2020-11-08,281910
2020-11-09,286446
2020-11-10,293862
2020-11-11,301349
2020-11-12,309605
2020-11-13,318023
2020-11-14,323604
2020-11-15,329924
2020-11-16,334640
2020-11-17,342155
2020-11-18,350665
2020-11-19,358113
2020-11-20,365190
2020-11-21,372219
2020-11-22,376238
2020-11-23,379693
2020-11-24,386441
2020-11-25,392443
2020-11-26,398104
2020-11-27,399557
2020-11-28,404999
2020-11-29,409054
2020-11-30,411730
2020-12-01,416365
2020-12-02,420930
2020-12-03,426534
2020-12-04,432217
2020-12-05,437918
2020-12-06,441067
2020-12-07,443415
2020-12-08,448009
2020-12-09,452180
2020-12-10,456889
2020-12-11,461367
2020-12-12,465991
2020-12-13,468956
2020-12-14,471285
2020-12-15,475340
2020-12-16,478162
2020-12-17,482443
2020-12-18,486364
2020-12-19,490679
2020-12-20,492724
2020-12-21,494353
2020-12-22,497380
2020-12-23,500443
2020-12-24,503706
2020-12-25,505345
2020-12-26,506022
2020-12-27,508580
2020-12-28,510137
2020-12-29,513056
2020-12-30,516226
2020-12-31,520438
2021-01-01,522523
2021-01-02,523652
2021-01-03,526245
2021-01-04,527871
2021-01-05,531890
2021-01-06,535999
2021-01-07,540508
2021-01-08,544618
2021-01-09,548134
2021-01-10,550260
2021-01-11,551942
2021-01-12,555249
2021-01-13,558020
2021-01-14,561160
2021-01-15,563866
2021-01-16,566275
2021-01-17,568166
