date,cases
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,3
2020-03-15,3
2020-03-16,10
2020-03-17,15
2020-03-18,17
2020-03-19,18
2020-03-20,22
2020-03-21,24
2020-03-22,26
2020-03-23,28
2020-03-24,37
2020-03-25,49
2020-03-26,56
2020-03-27,74
2020-03-28,85
2020-03-29,88
2020-03-30,96
2020-03-31,121
2020-04-01,138
2020-04-02,154
2020-04-03,167
2020-04-04,189
2020-04-05,200
2020-04-06,213
2020-04-07,221
2020-04-08,230
2020-04-09,303
2020-04-10,320
2020-04-11,343
2020-04-12,364
2020-04-13,373
2020-04-14,373
2020-04-15,392
2020-04-16,393
2020-04-17,401
2020-04-18,412
2020-04-19,422
2020-04-20,426
2020-04-21,442
2020-04-22,447
2020-04-23,453
2020-04-24,473
2020-04-25,477
2020-04-26,502
2020-04-27,520
2020-04-28,536
2020-04-29,544
2020-04-30,559
2020-05-01,566
2020-05-02,579
2020-05-03,586
2020-05-04,596
2020-05-05,604
2020-05-06,631
2020-05-07,635
2020-05-08,644
2020-05-09,653
2020-05-10,662
2020-05-11,669
2020-05-12,675
2020-05-13,688
2020-05-14,701
2020-05-15,716
2020-05-16,741
2020-05-17,754
2020-05-18,766
2020-05-19,776
2020-05-20,787
2020-05-21,801
2020-05-22,803
2020-05-23,813
2020-05-24,813
2020-05-25,843
2020-05-26,850
2020-05-27,860
2020-05-28,876
2020-05-29,891
2020-05-30,898
2020-05-31,903
2020-06-01,910
2020-06-02,912
2020-06-03,915
2020-06-04,921
2020-06-05,933
2020-06-06,939
2020-06-07,947
2020-06-08,960
2020-06-09,970
2020-06-10,980
2020-06-11,1009
2020-06-12,1027
2020-06-13,1050
2020-06-14,1060
2020-06-15,1079
2020-06-16,1089
2020-06-17,1114
2020-06-18,1144
2020-06-19,1173
2020-06-20,1179
2020-06-21,1197
2020-06-22,1230
2020-06-23,1254
2020-06-24,1282
2020-06-25,1326
2020-06-26,1368
2020-06-27,1392
2020-06-28,1417
2020-06-29,1450
2020-06-30,1487
2020-07-01,1514
2020-07-02,1550
2020-07-03,1582
2020-07-04,1606
2020-07-05,1634
2020-07-06,1675
2020-07-07,1711
2020-07-08,1740
2020-07-09,1774
2020-07-10,1790
2020-07-11,1839
2020-07-12,1862
2020-07-13,1903
2020-07-14,1951
2020-07-15,1985
2020-07-16,2026
2020-07-17,2069
2020-07-18,2108
2020-07-19,2126
2020-07-20,2187
2020-07-21,2238
2020-07-22,2288
2020-07-23,2347
2020-07-24,2405
2020-07-25,2446
2020-07-26,2475
2020-07-27,2520
2020-07-28,2589
2020-07-29,2628
2020-07-30,2686
2020-07-31,2726
2020-08-01,2769
2020-08-02,2808
2020-08-03,2848
2020-08-04,2884
2020-08-05,2923
2020-08-06,2958
2020-08-07,3000
2020-08-08,3013
2020-08-09,3050
2020-08-10,3042
2020-08-11,3073
2020-08-12,3086
2020-08-13,3119
2020-08-14,3183
2020-08-15,3227
2020-08-16,3286
2020-08-17,3331
2020-08-18,3360
2020-08-19,3430
2020-08-20,3468
2020-08-21,3524
2020-08-22,3543
2020-08-23,3579
2020-08-24,3603
2020-08-25,3634
2020-08-26,3684
2020-08-27,3722
2020-08-28,3763
2020-08-29,3784
